pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,5,6,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,5,6,3,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,5,10,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,5,11,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,6,4,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,8,1,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,18,2,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,23,5,1,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,26,1,4,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,29,3,3,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,52,1,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,53,5,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,54,14,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,55,4,0,prot-1930--fk--45
fcfff492e00727b6,Stockholm,Helsingfors,59,6,0,prot-1930--fk--45
