pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,4,3,0,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,7,2,1,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,20,1,1,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,20,1,3,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,21,1,3,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,25,2,1,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,25,2,2,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,27,2,2,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,28,1,2,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,28,1,4,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,29,1,0,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,29,1,2,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,36,2,3,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,38,2,1,prot-1940-urtima-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,43,9,0,prot-1940-urtima-fk--13
