pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,18,4,4,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,18,15,1,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,19,12,0,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,20,5,2,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,20,12,0,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,38,4,0,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,72,3,2,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,72,3,3,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,72,4,0,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,72,4,1,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,73,5,3,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,81,0,1,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,115,17,1,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,115,23,3,prot-1951-extrahöst-fk--35
fcfff492e00727b6,Stockholm,Helsingfors,116,17,0,prot-1951-extrahöst-fk--35
