pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,34,4,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,35,3,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,42,3,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,42,3,3,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,47,3,3,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,47,4,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,58,4,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,59,3,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,62,3,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,62,3,3,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,62,4,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,62,4,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,62,4,3,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,3,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,3,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,3,3,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,4,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,4,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,63,5,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,3,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,3,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,3,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,4,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,6,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,64,7,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,65,3,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,65,4,1,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,70,3,2,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,70,4,0,prot-1956-höst-fk--27
fcfff492e00727b6,Stockholm,Helsingfors,75,6,0,prot-1956-höst-fk--27
