pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,2,8,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,24,4,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,33,7,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,44,7,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,52,5,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,77,2,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,149,1,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,166,1,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,167,5,4,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,232,7,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,236,5,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,237,4,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,244,2,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,247,3,5,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,247,6,1,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,248,4,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,249,6,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,255,3,1,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,257,6,0,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,260,5,5,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,272,6,1,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,276,7,1,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,287,9,1,prot-1958-a-ak--17-01
fcfff492e00727b6,Stockholm,Helsingfors,297,5,2,prot-1958-a-ak--17-01
