pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
7090e83bd0c0a3da,    , ,0,0,0,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,0,7,0,prot-1958-a-ak--4
7090e83bd0c0a3da,   , ,1,3,0,prot-1958-a-ak--4
7090e83bd0c0a3da,   , ,1,6,0,prot-1958-a-ak--4
7090e83bd0c0a3da,       , ,1,8,0,prot-1958-a-ak--4
7090e83bd0c0a3da,   , ,1,9,0,prot-1958-a-ak--4
7090e83bd0c0a3da,   , ,1,12,0,prot-1958-a-ak--4
7090e83bd0c0a3da,     , ,1,17,0,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,7,4,2,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,9,9,1,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,11,7,0,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,16,14,1,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,16,15,2,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,18,9,0,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,25,5,1,prot-1958-a-ak--4
fcfff492e00727b6,Stockholm,Helsingfors,31,4,0,prot-1958-a-ak--4
