pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,6,5,3,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,7,4,2,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,9,3,3,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,10,9,7,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,21,12,0,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,23,8,0,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,23,9,0,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,23,10,1,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,23,11,1,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,23,11,2,prot-1958-a-fk--13
fcfff492e00727b6,Stockholm,Helsingfors,43,6,0,prot-1958-a-fk--13
