pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,1,5,3,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,2,1,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,13,5,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,18,14,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,31,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,2,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,3,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,7,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,7,1,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,7,2,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,40,9,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,2,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,6,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,6,2,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,6,3,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,41,6,4,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,42,2,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,42,3,3,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,42,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,42,5,1,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,43,3,1,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,43,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,43,4,1,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,44,8,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,45,5,2,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,46,4,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,46,8,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,48,4,2,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,48,6,1,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,49,9,3,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,50,3,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,52,8,0,prot-1958-b-ak--9
fcfff492e00727b6,Stockholm,Helsingfors,53,5,0,prot-1958-b-ak--9
