,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--33
