pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,9,8,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,11,5,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,12,2,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,16,5,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,17,6,2,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,17,7,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,18,5,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,21,4,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,21,4,3,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,24,11,3,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,26,4,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,27,4,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,29,11,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,50,5,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,53,3,3,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,65,2,1,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,108,2,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,125,7,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,126,4,0,prot-1964-höst-ak--39
fcfff492e00727b6,Stockholm,Helsingfors,128,2,0,prot-1964-höst-ak--39
