pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
7090e83bd0c0a3da,         , ,0,0,0,prot-1969--ak--6
7090e83bd0c0a3da,    , ,0,1,0,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,1,4,0,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,18,20,0,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,22,7,2,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,32,3,6,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,34,9,1,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,34,12,1,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,34,15,1,prot-1969--ak--6
fcfff492e00727b6,Stockholm,Helsingfors,35,19,0,prot-1969--ak--6
