,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--fk--18
