,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-198081--102
0,metadata,1980/81 101-103,,prot-198081--102
0,metadata,Konstitutionsutskottets betänkande 1980/81:20 om anslag till Nämnden för samhällsinformation m. m.,,prot-198081--102
0,metadata,1980/81:102,,prot-198081--102
0,metadata,5$ Svar på fråga 1980/81:319 om statligt stöd till kolvärmeverket i Igelsta,,prot-198081--102
0,metadata,6$ Svar på fråga 1980/81:306 om tidpunkten för förslag rörande spridandet av kemiska medel i skogsbruket,,prot-198081--102
0,metadata,2 Riksdagens protokoll 1980/81:101-103,,prot-198081--102
0,metadata,Tisdagen den 24 mars 1981,,prot-198081--102
0,metadata,158 Anmäldes och bordlades Jordbruksutskottets betänkande 1980/81:19 om avfallshantering,,prot-198081--102
0,metadata,den 24 mars,,prot-198081--102
0,metadata,1980/81:338 av Bertil Jonasson (c) till budgetministern om rätten till avsättning till skogskonto:,,prot-198081--102
0,metadata,[ORSA GE SSE EES EN 0 RS OSS,,prot-198081--102
0,metadata,GOTAB 66922 Stockholm 1981,,prot-198081--102
