pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,46,10,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,46,11,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,46,12,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,46,13,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,47,3,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,48,3,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,51,15,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,132,2,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,132,3,prot-200102--93
fcfff492e00727b6,Stockholm,Helsingfors,0,313,8,prot-200102--93
