,name,party,district,chamber,start,end,occupation,gender,id
0,A.C. Lindblad,Socialdemokraterna,Göteborgs stad,Första kammaren,1918,1924,,,a.c._lindblad_b9d2
1,Aaby Ericsson,Högerpartiet,Kronobergs län,Första kammaren,1918,1924,,,aaby_ericsson_0f34
2,Adam Hult,Unknown f,Västmanlands län,Första kammaren,1918,1924,,man,adam_hult_ccb3
3,Adolf Berge,Socialdemokraterna,Stockholms län,Första kammaren,1918,1924,,man,adolf_berge_f16d
4,Albert Bergström,Socialdemokraterna,Östergötlands län,Första kammaren,1918,1924,,man,albert_bergström_3fc6
5,Alexis Björkman,,Västmanlands län,Första kammaren,1918,1924,,,alexis_björkman_1997
6,Alfred Petrén,Socialdemokraterna,Kopparbergs län,Första kammaren,1918,1924,,man,alfred_petrén_f6ac
7,Anders Antonsson,Högerpartiet,Malmö stad,Första kammaren,1918,1924,,man,anders_antonsson_5834
8,Anders Elisson,Unknown j,Hallands län,Första kammaren,1918,1924,,man,anders_elisson_8cbc
9,Anders Olof Frändén,Högerpartiet,Jämtlands län,Första kammaren,1918,1924,,man,anders_olof_frändén_5d1d
10,Anders Pers,Unknown f,Kopparbergs län,Första kammaren,1918,1924,,man,anders_pers_8fb2
11,Anders Örne,Socialdemokraterna,Örebro län,Första kammaren,1918,1924,,man,anders_örne_6ecd
12,Arvid Erikson,Unknown f,Stockholms län,Första kammaren,1918,1924,,man,arvid_erikson_b54e
13,Assar Emanuel Åkerman,Socialdemokraterna,Södermanlands län,Första kammaren,1918,1924,,man,assar_emanuel_åkerman_c9c6
14,August Bruhn,Unknown f,Kristianstads län,Första kammaren,1918,1924,,man,august_bruhn_429d
15,August Johansson,Unknown f,Skaraborgs län,Första kammaren,1918,1924,,man,august_johansson_3501
16,August Ljunggren,Unknown f,Kronobergs län,Första kammaren,1918,1924,,man,august_ljunggren_f2ca
17,Axel Fredrik Wennersten,,Älvsborgs län,Första kammaren,1918,1924,,man,axel_fredrik_wennersten_729f
18,Axel Hansson Wachtmeister,Högerpartiet,Blekinge län,Första kammaren,1918,1924,,man,axel_hansson_wachtmeister_cd79
