name,gender,rownumber
Aaby,masculine,0
Abdirizak,masculine,1
Abel,masculine,2
Abir,feminine,3
Acko,masculine,4
Adam,masculine,5
Adnan,masculine,6
Adolf,masculine,7
Adolv,masculine,8
Agda,feminine,9
Agne,feminine,10
Agneta,feminine,11
Åhlmans,masculine,12
Aina,feminine,13
Åke,masculine,14
Alarik,masculine,15
Albert,masculine,16
Albin,masculine,17
Aleksander,masculine,18
Alexander,masculine,19
Alexandra,feminine,20
Alexis,feminine,21
Alf,masculine,22
Alfred,masculine,23
Algot,masculine,24
Ali,masculine,25
Alice,feminine,26
Alireza,feminine,27
Allan,masculine,28
Alma,feminine,29
Alva,feminine,30
Alvar,masculine,31
Alwa,feminine,32
Amanda,feminine,33
Ameer,masculine,34
Amineh,feminine,35
Amir,masculine,36
Ana,feminine,37
Anders,masculine,38
Andreas,masculine,39
Anette,feminine,40
Angelica,feminine,41
Angelika,feminine,42
Anita,feminine,43
Ann,feminine,44
Ann-Britt,feminine,45
Ann-Cathrine,feminine,46
Ann-Charlotte,feminine,47
Ann-Christin,feminine,48
Ann-Christine,feminine,49
Ann-Kristine,feminine,50
Ann-Marie,feminine,51
Ann-Sofie,feminine,52
Anna,feminine,53
Anna-Caren,feminine,54
Anna-Greta,feminine,55
Anna-Lena,feminine,56
Anna-Lisa,feminine,57
Anne,feminine,58
Anne-Katrine,feminine,59
Anne-Marie,feminine,60
Anneli,feminine,61
Annelie,feminine,62
Annicka,feminine,63
Annie,feminine,64
Annika,feminine,65
Anselm,masculine,66
Anti,masculine,67
Anton,masculine,68
Ardalan,masculine,69
Arendt,masculine,70
Arhe,masculine,71
Arin,feminine,72
Arman,masculine,73
Arne,masculine,74
Aron,masculine,75
Arthur,masculine,76
Artur,masculine,77
Arvid,masculine,78
Åsa,feminine,79
Assar,masculine,80
Astrid,feminine,81
August,masculine,82
Augustinus,masculine,83
Axel,masculine,84
Aylin,feminine,85
Barbro,feminine,86
Beatrice,feminine,87
Bengt,masculine,88
Bengt-Anders,masculine,89
Bengt-Ola,masculine,90
Bengt-Olof,masculine,91
Berit,feminine,92
Berith,feminine,93
Berndt,masculine,94
Bernhard,masculine,95
Bernt,masculine,96
Bert,masculine,97
Bertha,feminine,98
Bertil,masculine,99
Betty,feminine,100
Billy,masculine,101
Birger,masculine,102
Birgit,feminine,103
Birgitta,feminine,104
Birthe,feminine,105
Björn,masculine,106
Blenda,feminine,107
Bo,masculine,108
Bodil,feminine,109
Boriana,feminine,110
Börje,masculine,111
Bosse,masculine,112
Brita,feminine,113
Britt,feminine,114
Britt-Marie,feminine,115
Britta,feminine,116
Bror,masculine,117
Bruno,masculine,118
Brynolf,masculine,119
C-H,masculine,120
Camilla,feminine,121
Carin,feminine,122
Carina,feminine,123
Carl,masculine,124
Carl-Axel,masculine,125
Carl-Eric,masculine,126
Carl-Erik,masculine,127
Carl-Gustav,masculine,128
Carl-Johan,masculine,129
Carl-Oskar,masculine,130
Carl-Wilhelm,masculine,131
Carlinge,feminine,132
Caroline,feminine,133
Cassandra,feminine,134
Catarina,feminine,135
Catharina,feminine,136
Catherine,feminine,137
Cecilia,feminine,138
Cecilie,feminine,139
Charles,masculine,140
Charlotta,feminine,141
Charlotte,feminine,142
Chatrine,feminine,143
Chris,masculine,144
Christel,feminine,145
Christer,masculine,146
Christian,masculine,147
Christin,feminine,148
Christina,feminine,149
Christine,feminine,150
Christoffer,masculine,151
Ciczie,feminine,152
Cinnika,feminine,153
Claes,masculine,154
Claes-Göran,masculine,155
Clara,feminine,156
Clas-Göran,masculine,157
Claus,masculine,158
Conny,masculine,159
Conrad,masculine,160
Cornelius,masculine,161
Cristina,feminine,162
Curt,masculine,163
Dag,masculine,164
Dagmar,feminine,165
Dan,masculine,166
Daniel,masculine,167
David,masculine,168
Denis,masculine,169
Dennis,masculine,170
Désirée,feminine,171
Disa,feminine,172
Doris,feminine,173
Ebba,feminine,174
Ebbe,masculine,175
Ebon,feminine,176
Edgar,masculine,177
Edith,feminine,178
Edoff,masculine,179
Edvard,masculine,180
Edvin,masculine,181
Edward,masculine,182
Edwin,masculine,183
Egon,masculine,184
Eilif,masculine,185
Einar,masculine,186
Eivor,feminine,187
Ejnar,masculine,188
Eli,masculine,189
Elias,masculine,190
Eliel,masculine,191
Elin,feminine,192
Elina,feminine,193
Elis,masculine,194
Elisa,feminine,195
Elisabet,feminine,196
Elisabeth,feminine,197
Elise,feminine,198
Elisebeht,feminine,199
Eliza,feminine,200
Elizabeth,feminine,201
Ella,feminine,202
Ellen,feminine,203
Elof,masculine,204
Elon,masculine,205
Elsa,feminine,206
Else-Marie,feminine,207
Elver,masculine,208
Elving,masculine,209
Elvira,feminine,210
Elvy,feminine,211
Emanuel,masculine,212
Emil,masculine,213
Emilia,feminine,214
Emma,feminine,215
Enar,masculine,216
Eric,masculine,217
Erik,masculine,218
Erland,masculine,219
Erling,masculine,220
Ernst,masculine,221
Esabelle,feminine,222
Eskil,masculine,223
Eskils,masculine,224
Essen,masculine,225
Ester,feminine,226
Etty,feminine,227
Eva,feminine,228
Eva-Lena,feminine,229
Evald,masculine,230
Evert,masculine,231
Ewa,feminine,232
Ewald,masculine,233
Ewy,feminine,234
Fabian,masculine,235
Fanny,feminine,236
Felix,masculine,237
Ferdinand,masculine,238
Filip,masculine,239
Finn,masculine,240
Folke,masculine,241
Frank,masculine,242
Frans,masculine,243
Fred,masculine,244
Fredrick,masculine,245
Fredrik,masculine,246
Fredrik-Adolf,masculine,247
Frida,feminine,248
Fridolf,masculine,249
Fritiof,masculine,250
Fritjof,masculine,251
Frits,masculine,252
Fritz,masculine,253
Gabriel,masculine,254
Gärda,feminine,255
Georg,masculine,256
Gerard,masculine,257
Gerda,feminine,258
Gerhard,masculine,259
Gertrud,feminine,260
Gideon,masculine,261
Gillis,masculine,262
Göran,masculine,263
Gördis,feminine,264
Görel,feminine,265
Gösta,masculine,266
Göta,feminine,267
Göte,masculine,268
Göthe,masculine,269
Gottfrid,masculine,270
Greta,feminine,271
Grethe,feminine,272
Gudmund,masculine,273
Gudrun,feminine,274
Gulan,feminine,275
Gullan,feminine,276
Gun,feminine,277
Gunbjörg,feminine,278
Gunde,masculine,279
Gunhild,feminine,280
Gunilla,feminine,281
Gunnar,masculine,282
Gunnel,feminine,283
Gunvor,feminine,284
Gustaf,masculine,285
Gustav,masculine,286
Gusti,feminine,287
Hadar,masculine,288
Hagar,feminine,289
Håkan,masculine,290
Hakon,masculine,291
Hampus,masculine,292
Hanif,masculine,293
Hanna,feminine,294
Hannah,feminine,295
Hans,masculine,296
Harald,masculine,297
Hardy,masculine,298
Harriet,feminine,299
Harry,masculine,300
Helén,feminine,301
Helena,feminine,302
Helene,feminine,303
Heléne,feminine,304
Helga,feminine,305
Helge,masculine,306
Heli,feminine,307
Helmer,masculine,308
Hemming,masculine,309
Henning,masculine,310
Henric,masculine,311
Henrik,masculine,312
Henry,masculine,313
Herbert,masculine,314
Herman,masculine,315
Hernfrid,masculine,316
Hilding,masculine,317
Hildur,feminine,318
Hillevi,feminine,319
Hjalmar,masculine,320
Holger,masculine,321
Hugo,masculine,322
Hulda,feminine,323
Ian,masculine,324
Ibrahim,masculine,325
Ida,feminine,326
Ilona,feminine,327
Ines,feminine,328
Ing-Britt,feminine,329
Ing-Marie,feminine,330
Inga,feminine,331
Inga-Britt,feminine,332
Ingbritt,feminine,333
Inge,feminine,334
Ingeborg,feminine,335
Ingebrekt,feminine,336
Ingegärd,feminine,337
Ingegerd,feminine,338
Ingela,feminine,339
Ingemar,masculine,340
Ingemund,masculine,341
Inger,feminine,342
Ingibjörg,feminine,343
Ingrid,feminine,344
Ingvar,masculine,345
Iréne,feminine,346
Iris,feminine,347
Isa,feminine,348
Isabella,feminine,349
Isak,masculine,350
Ismail,masculine,351
Israel,masculine,352
Ivan,masculine,353
Ivar,masculine,354
Iwar,masculine,355
Jabar,masculine,356
Jacob,masculine,357
Jakob,masculine,358
Jamal,masculine,359
James,masculine,360
Jan,masculine,361
Jan-Eric,masculine,362
Jan-Erik,masculine,363
Jan-Evert,masculine,364
Jan-Ivan,masculine,365
Jan-Olof,masculine,366
Janine,feminine,367
Janne,masculine,368
Jarl,masculine,369
Jasenko,masculine,370
Jean,masculine,371
