protocol_id,elem_id,pattern,segmentation,who,id
prot-1921--fk--6,i-ff800a315165dcea,,metadata,,
prot-1921--fk--6,i-2fee5907e7ad9075,,metadata,,
prot-1921--fk--6,i-e23b5155806368df,,metadata,,
prot-1921--fk--6,i-aa710ba1b7d24538,560e61985149f31c,speech_start,,
prot-1921--fk--6,i-e80b81a0328739a7,,metadata,,
prot-1921--fk--6,i-38132ecb2d3eacfd,,metadata,,
prot-1921--fk--6,i-dc29c6d61a14e9b3,,metadata,,
prot-1921--fk--6,i-913b839ebfb9e50e,,metadata,,
prot-1921--fk--6,i-f3b464f5bd09a562,,metadata,,
prot-1921--fk--6,i-6e46ddff137f1f84,,metadata,,
prot-1921--fk--6,i-af0a0fb41aa23efc,,metadata,,
prot-1921--fk--6,i-3ff67cf8cf603d27,,metadata,,
prot-1921--fk--6,i-6165e8566ba459d5,,metadata,,
prot-1921--fk--6,i-0d6ed100a0a30091,,metadata,,
prot-1921--fk--6,i-640ad43ed61016c4,,metadata,,
prot-1921--fk--6,i-d4f5dd47642709c8,560e61985149f31c,speech_start,,
prot-1921--fk--6,i-9cbd736fcc88e7b1,,metadata,,
prot-1921--fk--6,i-a96c769adb9ee9a4,,metadata,,
prot-1921--fk--6,i-11b32553c1e33c30,,metadata,,
prot-1921--fk--6,i-0f17a058f59ad06f,560e61985149f31c,speech_start,,
prot-1921--fk--6,i-f1088196747d9647,560e61985149f31c,speech_start,carl-axel_reuterskiold_7a210c,
prot-1921--fk--6,i-d2b1dd6f09ffa28c,,metadata,,
prot-1921--fk--6,i-76c3866fc06c341d,,metadata,,
prot-1921--fk--6,i-855ed471991f91b6,,metadata,,
prot-1921--fk--6,i-8406be9e02b01c7d,,metadata,,
prot-1921--fk--6,i-5aa98cf6bdd64a19,,metadata,,
prot-1921--fk--6,i-8e737a5dd7546499,,metadata,,
prot-1921--fk--6,i-26f8b9a37206bf51,,metadata,,
prot-1921--fk--6,i-192eb2e4a307e426,,metadata,,
prot-1921--fk--6,i-42130be4cb1527c4,,metadata,,
prot-1921--fk--6,i-c52ee1117520d497,8f6bb79aaba3167f,speech_start,hans_excellens_ernst_trygger_0b8333,
prot-1921--fk--6,i-c52ee1117520d497,560e61985149f31c,speech_start,hans_excellens_ernst_trygger_0b8333,
prot-1921--fk--6,i-0c50aa940fe6656e,,metadata,,
prot-1921--fk--6,i-fd35571ee70adbe9,,metadata,,
prot-1921--fk--6,i-2b96478aa4498dc0,,metadata,,
prot-1921--fk--6,i-6903cebf2016d3ba,,metadata,,
prot-1921--fk--6,i-687cdde7d69408d1,560e61985149f31c,speech_start,carl-axel_reuterskiold_7a210c,
prot-1921--fk--6,i-d04971a11a4024ea,560e61985149f31c,speech_start,hans_excellens_ernst_trygger_0b8333,
prot-1921--fk--6,i-e2df78de6ccb7eae,560e61985149f31c,speech_start,carl-axel_reuterskiold_7a210c,
prot-1921--fk--6,i-d11f4e8ecd801b01,,metadata,,
prot-1921--fk--6,i-c4acaf34e5da0c57,8f6bb79aaba3167f,speech_start,karl_ekman_484d20,
prot-1921--fk--6,i-c4acaf34e5da0c57,560e61985149f31c,speech_start,karl_ekman_484d20,
prot-1921--fk--6,i-75678a47c9a2a08e,,metadata,,
prot-1921--fk--6,i-819560180c394b3b,,metadata,,
prot-1921--fk--6,i-5d51fc462589be10,,metadata,,
prot-1921--fk--6,i-c674bafcbde52d96,,metadata,,
prot-1921--fk--6,i-28a1076ae712733b,,metadata,,
prot-1921--fk--6,i-4d6c72c464b3dea0,560e61985149f31c,speech_start,hans_excellens_ernst_trygger_0b8333,
prot-1921--fk--6,i-dbbdd47f539fd38e,560e61985149f31c,speech_start,mauritz_hellberg_3d8a07,
prot-1921--fk--6,i-330a0fe29b3ec71d,,metadata,,
prot-1921--fk--6,i-e08d332b6479ddcf,8f6bb79aaba3167f,speech_start,karl_ekman_484d20,
prot-1921--fk--6,i-e08d332b6479ddcf,560e61985149f31c,speech_start,karl_ekman_484d20,
prot-1921--fk--6,i-9b556711c921678b,,metadata,,
prot-1921--fk--6,i-71200036bb91655b,,metadata,,
prot-1921--fk--6,i-756c537ab76cb8f7,,metadata,,
prot-1921--fk--6,i-5089b0d408bf274f,,metadata,,
prot-1921--fk--6,i-bc774107d0cb4671,,metadata,,
prot-1921--fk--6,i-8c5bdd8ef814af56,,metadata,,
prot-1921--fk--6,i-2798f7dd0bae9487,560e61985149f31c,speech_start,,
prot-1921--fk--6,i-0ad298cf4da66849,560e61985149f31c,speech_start,carl-axel_reuterskiold_7a210c,
prot-1921--fk--6,i-92c3f60f4734c056,,metadata,,
prot-1921--fk--6,i-88e9a1ef422594bc,,metadata,,
prot-1921--fk--6,i-1a9aefe2ff5b034f,,metadata,,
prot-1921--fk--6,i-95e6ce15a7eaadb3,,metadata,,
prot-1921--fk--6,i-66bb01cc8268bea3,560e61985149f31c,speech_start,,
prot-1921--fk--6,i-d2440f72a962889e,,metadata,,
prot-1921--fk--6,i-3dc381b8c89e205c,,metadata,,
prot-1921--fk--6,i-f480730f002db7b8,,metadata,,
prot-1921--fk--6,i-6d1e48f7456089ad,,metadata,,
prot-1921--fk--6,i-34eba742c09b65b4,,metadata,,
prot-1921--fk--6,i-7303996a810e309d,,metadata,,
prot-1921--fk--6,i-21a44c257f1e1d96,,metadata,,
prot-1921--fk--6,i-4eadfe54d732f346,,metadata,,
prot-1921--fk--6,i-5058daeef7b0ee8c,,metadata,,
prot-1921--fk--6,i-006d893ae9b8c096,,metadata,,
prot-1921--fk--6,i-a2f4e6279f408010,,metadata,,
prot-1921--fk--6,i-f53876756d94086a,,metadata,,
prot-1921--fk--6,i-e5edbf46af09d03b,,metadata,,
prot-1921--fk--6,i-1e1246d560784bb8,,metadata,,
prot-1921--fk--6,i-4fe2104e529b81f7,,metadata,,
prot-1921--fk--6,i-a2ebc302525d7947,,metadata,,
prot-1921--fk--6,i-d8286ea9c7c3b7c6,,metadata,,
prot-1921--fk--6,i-9e0ec972b3e4beec,,metadata,,
prot-1921--fk--6,i-9b707f36dbccbdcb,,metadata,,
prot-1921--fk--6,i-bdb2a4e1ef8e112f,,metadata,,
