protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1933--fk--4,0,0,-1,,metadata,,
prot-1933--fk--4,0,1,-1,,metadata,,
prot-1933--fk--4,0,4,-1,,metadata,,
prot-1933--fk--4,0,5,-1,,metadata,,
prot-1933--fk--4,0,7,0,8f6bb79aaba3167f,speech_start,oscar_olsson_9c8ca4,prot-1933--fk--4-oscar_olsson_9c8ca4-0-7-0
prot-1933--fk--4,0,7,0,560e61985149f31c,speech_start,oscar_olsson_9c8ca4,prot-1933--fk--4-oscar_olsson_9c8ca4-0-7-0
prot-1933--fk--4,0,10,-1,,metadata,,
prot-1933--fk--4,0,11,-1,,metadata,,
prot-1933--fk--4,1,0,-1,,metadata,,
prot-1933--fk--4,1,1,-1,,metadata,,
prot-1933--fk--4,2,0,-1,,metadata,,
prot-1933--fk--4,3,0,-1,,metadata,,
prot-1933--fk--4,4,0,-1,,metadata,,
prot-1933--fk--4,4,1,-1,,metadata,,
prot-1933--fk--4,5,0,-1,,metadata,,
prot-1933--fk--4,6,0,-1,,metadata,,
prot-1933--fk--4,7,0,-1,,metadata,,
prot-1933--fk--4,7,2,0,8f6bb79aaba3167f,speech_start,erik_von_heland_4f5a7a,prot-1933--fk--4-erik_von_heland_4f5a7a-7-2-0
prot-1933--fk--4,7,2,0,560e61985149f31c,speech_start,erik_von_heland_4f5a7a,prot-1933--fk--4-erik_von_heland_4f5a7a-7-2-0
prot-1933--fk--4,8,0,-1,,metadata,,
prot-1933--fk--4,9,0,-1,,metadata,,
prot-1933--fk--4,10,0,-1,,metadata,,
prot-1933--fk--4,11,0,-1,,metadata,,
prot-1933--fk--4,11,3,0,8f6bb79aaba3167f,speech_start,jons_palsson_7363d9,prot-1933--fk--4-jons_palsson_7363d9-11-3-0
prot-1933--fk--4,11,3,0,560e61985149f31c,speech_start,jons_palsson_7363d9,prot-1933--fk--4-jons_palsson_7363d9-11-3-0
prot-1933--fk--4,12,0,-1,,metadata,,
prot-1933--fk--4,13,0,-1,,metadata,,
prot-1933--fk--4,14,0,-1,,metadata,,
prot-1933--fk--4,15,0,-1,,metadata,,
prot-1933--fk--4,16,0,-1,,metadata,,
prot-1933--fk--4,16,2,0,8f6bb79aaba3167f,speech_start,carl_albert_lindhagen_6e99e4,prot-1933--fk--4-carl_albert_lindhagen_6e99e4-16-2-0
prot-1933--fk--4,16,2,0,560e61985149f31c,speech_start,carl_albert_lindhagen_6e99e4,prot-1933--fk--4-carl_albert_lindhagen_6e99e4-16-2-0
prot-1933--fk--4,16,3,-1,,metadata,,
prot-1933--fk--4,17,0,-1,,metadata,,
prot-1933--fk--4,18,0,-1,,metadata,,
prot-1933--fk--4,19,0,-1,,metadata,,
prot-1933--fk--4,20,0,-1,,metadata,,
prot-1933--fk--4,21,0,-1,,metadata,,
prot-1933--fk--4,22,0,-1,,metadata,,
prot-1933--fk--4,23,0,-1,,metadata,,
prot-1933--fk--4,24,0,-1,,metadata,,
prot-1933--fk--4,25,0,-1,,metadata,,
prot-1933--fk--4,26,0,-1,,metadata,,
prot-1933--fk--4,27,0,-1,,metadata,,
prot-1933--fk--4,28,0,-1,,metadata,,
prot-1933--fk--4,29,0,-1,,metadata,,
prot-1933--fk--4,29,2,0,8f6bb79aaba3167f,speech_start,rickard_lindstrom_8cdcf7,prot-1933--fk--4-rickard_lindstrom_8cdcf7-29-2-0
prot-1933--fk--4,29,2,0,560e61985149f31c,speech_start,rickard_lindstrom_8cdcf7,prot-1933--fk--4-rickard_lindstrom_8cdcf7-29-2-0
prot-1933--fk--4,30,0,-1,,metadata,,
prot-1933--fk--4,31,0,-1,,metadata,,
prot-1933--fk--4,32,0,-1,,metadata,,
prot-1933--fk--4,33,0,-1,,metadata,,
prot-1933--fk--4,34,0,-1,,metadata,,
prot-1933--fk--4,34,2,0,8f6bb79aaba3167f,speech_start,william_linder_445c8c,prot-1933--fk--4-william_linder_445c8c-34-2-0
prot-1933--fk--4,34,2,0,560e61985149f31c,speech_start,william_linder_445c8c,prot-1933--fk--4-william_linder_445c8c-34-2-0
prot-1933--fk--4,35,0,-1,,metadata,,
prot-1933--fk--4,35,2,0,8f6bb79aaba3167f,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-35-2-0
prot-1933--fk--4,35,2,0,560e61985149f31c,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-35-2-0
prot-1933--fk--4,36,0,-1,,metadata,,
prot-1933--fk--4,37,0,-1,,metadata,,
prot-1933--fk--4,38,0,-1,,metadata,,
prot-1933--fk--4,39,0,-1,,metadata,,
prot-1933--fk--4,40,0,-1,,metadata,,
prot-1933--fk--4,40,2,0,8f6bb79aaba3167f,speech_start,viktor_larsson_2a0aa2,prot-1933--fk--4-viktor_larsson_2a0aa2-40-2-0
prot-1933--fk--4,40,2,0,560e61985149f31c,speech_start,viktor_larsson_2a0aa2,prot-1933--fk--4-viktor_larsson_2a0aa2-40-2-0
prot-1933--fk--4,41,0,-1,,metadata,,
prot-1933--fk--4,42,0,-1,,metadata,,
prot-1933--fk--4,42,2,0,8f6bb79aaba3167f,speech_start,sigfrid_hansson_1fa5f7,prot-1933--fk--4-sigfrid_hansson_1fa5f7-42-2-0
prot-1933--fk--4,43,0,-1,,metadata,,
prot-1933--fk--4,44,0,-1,,metadata,,
prot-1933--fk--4,44,2,0,560e61985149f31c,speech_start,harald_akerberg_2c98d2,prot-1933--fk--4-harald_akerberg_2c98d2-44-2-0
prot-1933--fk--4,45,0,-1,,metadata,,
prot-1933--fk--4,46,0,-1,,metadata,,
prot-1933--fk--4,46,2,0,8f6bb79aaba3167f,speech_start,erik_von_heland_4f5a7a,prot-1933--fk--4-erik_von_heland_4f5a7a-46-2-0
prot-1933--fk--4,46,2,0,560e61985149f31c,speech_start,erik_von_heland_4f5a7a,prot-1933--fk--4-erik_von_heland_4f5a7a-46-2-0
prot-1933--fk--4,47,0,-1,,metadata,,
prot-1933--fk--4,47,2,0,8f6bb79aaba3167f,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-47-2-0
prot-1933--fk--4,47,2,0,560e61985149f31c,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-47-2-0
prot-1933--fk--4,48,0,-1,,metadata,,
prot-1933--fk--4,48,1,1,560e61985149f31c,speech_start,johan_bergman_10e6ef,prot-1933--fk--4-johan_bergman_10e6ef-48-1-1
prot-1933--fk--4,48,2,-1,,metadata,,
prot-1933--fk--4,49,0,-1,,metadata,,
prot-1933--fk--4,49,2,0,8f6bb79aaba3167f,speech_start,rickard_lindstrom_8cdcf7,prot-1933--fk--4-rickard_lindstrom_8cdcf7-49-2-0
prot-1933--fk--4,49,2,0,560e61985149f31c,speech_start,rickard_lindstrom_8cdcf7,prot-1933--fk--4-rickard_lindstrom_8cdcf7-49-2-0
prot-1933--fk--4,50,0,-1,,metadata,,
prot-1933--fk--4,51,0,-1,,metadata,,
prot-1933--fk--4,51,2,0,8f6bb79aaba3167f,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-51-2-0
prot-1933--fk--4,51,2,0,560e61985149f31c,speech_start,ernst_trygger_2f08d0,prot-1933--fk--4-ernst_trygger_2f08d0-51-2-0
prot-1933--fk--4,51,5,0,560e61985149f31c,speech_start,karl_johan_ekman_78e6bb,prot-1933--fk--4-karl_johan_ekman_78e6bb-51-5-0
prot-1933--fk--4,51,6,-1,,metadata,,
prot-1933--fk--4,51,10,-1,,metadata,,
prot-1933--fk--4,52,0,-1,,metadata,,
prot-1933--fk--4,53,0,-1,,metadata,,
prot-1933--fk--4,54,0,-1,,metadata,,
prot-1933--fk--4,54,7,-1,,metadata,,
prot-1933--fk--4,55,0,-1,,metadata,,
prot-1933--fk--4,55,2,-1,,metadata,,
prot-1933--fk--4,55,3,-1,,metadata,,
