protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1936--fk--32,0,0,,,metadata,
prot-1936--fk--32,0,3,,,metadata,
prot-1936--fk--32,0,4,,,metadata,
prot-1936--fk--32,0,9,,,metadata,
prot-1936--fk--32,0,13,,,metadata,
prot-1936--fk--32,1,0,,,metadata,
prot-1936--fk--32,2,0,,,metadata,
prot-1936--fk--32,3,1,,,metadata,
prot-1936--fk--32,3,5,,8f6bb79aaba3167f,speech_start,Erik von Heland
prot-1936--fk--32,4,0,,,metadata,
prot-1936--fk--32,5,0,,,metadata,
prot-1936--fk--32,5,7,,,metadata,
prot-1936--fk--32,6,0,,,metadata,
prot-1936--fk--32,6,1,,,metadata,
prot-1936--fk--32,7,0,,,metadata,
prot-1936--fk--32,7,4,,,metadata,
prot-1936--fk--32,7,5,,,metadata,
