protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1939-urtima-ak--21,0,0,-1,,metadata,,
prot-1939-urtima-ak--21,0,3,-1,,metadata,,
prot-1939-urtima-ak--21,0,4,-1,,metadata,,
prot-1939-urtima-ak--21,0,6,-1,,metadata,,
prot-1939-urtima-ak--21,0,9,-1,,metadata,,
prot-1939-urtima-ak--21,0,11,-1,,metadata,,
prot-1939-urtima-ak--21,0,17,-1,,metadata,,
prot-1939-urtima-ak--21,1,0,-1,,metadata,,
prot-1939-urtima-ak--21,1,3,-1,,metadata,,
prot-1939-urtima-ak--21,1,5,-1,,metadata,,
prot-1939-urtima-ak--21,1,6,-1,,metadata,,
prot-1939-urtima-ak--21,1,10,-1,,metadata,,
prot-1939-urtima-ak--21,1,11,-1,,metadata,,
prot-1939-urtima-ak--21,1,12,-1,,metadata,,
prot-1939-urtima-ak--21,1,13,-1,,metadata,,
prot-1939-urtima-ak--21,1,14,-1,,metadata,,
