protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1940-urtima-fk--14,0,1,,,metadata,
prot-1940-urtima-fk--14,0,2,,,metadata,
prot-1940-urtima-fk--14,0,5,,,metadata,
prot-1940-urtima-fk--14,0,6,,,metadata,
prot-1940-urtima-fk--14,0,9,,8f6bb79aaba3167f,speech_start,
prot-1940-urtima-fk--14,0,15,,,metadata,
prot-1940-urtima-fk--14,0,17,,,metadata,
prot-1940-urtima-fk--14,1,1,,,metadata,
prot-1940-urtima-fk--14,1,4,,8f6bb79aaba3167f,speech_start,Carl Lindhagen
prot-1940-urtima-fk--14,1,5,,,metadata,
prot-1940-urtima-fk--14,2,0,,,metadata,
prot-1940-urtima-fk--14,2,2,,,metadata,
prot-1940-urtima-fk--14,3,0,,,metadata,
prot-1940-urtima-fk--14,4,0,,,metadata,
prot-1940-urtima-fk--14,4,2,,,metadata,
prot-1940-urtima-fk--14,4,4,,,metadata,
prot-1940-urtima-fk--14,5,0,,,metadata,
prot-1940-urtima-fk--14,5,2,,,metadata,
prot-1940-urtima-fk--14,6,0,,,metadata,
prot-1940-urtima-fk--14,6,3,,,metadata,
prot-1940-urtima-fk--14,6,4,,,metadata,
prot-1940-urtima-fk--14,7,1,,,metadata,
prot-1940-urtima-fk--14,7,2,,,metadata,
prot-1940-urtima-fk--14,7,3,,,metadata,
prot-1940-urtima-fk--14,7,9,,,metadata,
prot-1940-urtima-fk--14,7,11,,,metadata,
prot-1940-urtima-fk--14,8,0,,,metadata,
prot-1940-urtima-fk--14,8,3,,8f6bb79aaba3167f,speech_start,
prot-1940-urtima-fk--14,8,11,,,metadata,
prot-1940-urtima-fk--14,9,0,,,metadata,
prot-1940-urtima-fk--14,10,0,,,metadata,
prot-1940-urtima-fk--14,10,3,,8f6bb79aaba3167f,speech_start,Rudolf Anderberg
prot-1940-urtima-fk--14,11,0,,,metadata,
prot-1940-urtima-fk--14,12,0,,,metadata,
prot-1940-urtima-fk--14,13,0,,,metadata,
prot-1940-urtima-fk--14,14,0,,,metadata,
prot-1940-urtima-fk--14,14,5,,8f6bb79aaba3167f,speech_start,
prot-1940-urtima-fk--14,14,8,,8f6bb79aaba3167f,speech_start,Karl Emil Johansson
prot-1940-urtima-fk--14,14,10,,,metadata,
prot-1940-urtima-fk--14,15,0,,,metadata,
