protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1940-urtima-fk--21,0,0,-1,,metadata,,
prot-1940-urtima-fk--21,0,3,-1,,metadata,,
prot-1940-urtima-fk--21,0,4,-1,,metadata,,
prot-1940-urtima-fk--21,0,6,-1,,metadata,,
prot-1940-urtima-fk--21,1,0,-1,,metadata,,
prot-1940-urtima-fk--21,1,1,-1,,metadata,,
prot-1940-urtima-fk--21,1,4,-1,,metadata,,
prot-1940-urtima-fk--21,1,6,0,8f6bb79aaba3167f,speech_start,william_linder_ad11de,prot-1940-urtima-fk--21-william_linder_ad11de-1-6-0
prot-1940-urtima-fk--21,1,6,0,560e61985149f31c,speech_start,william_linder_ad11de,prot-1940-urtima-fk--21-william_linder_ad11de-1-6-0
prot-1940-urtima-fk--21,2,0,-1,,metadata,,
prot-1940-urtima-fk--21,3,0,-1,,metadata,,
prot-1940-urtima-fk--21,4,0,-1,,metadata,,
prot-1940-urtima-fk--21,4,2,0,8f6bb79aaba3167f,speech_start,sven_hansson_4e7bb6,prot-1940-urtima-fk--21-sven_hansson_4e7bb6-4-2-0
prot-1940-urtima-fk--21,4,3,0,560e61985149f31c,speech_start,william_linder_ad11de,prot-1940-urtima-fk--21-william_linder_ad11de-4-3-0
prot-1940-urtima-fk--21,5,0,-1,,metadata,,
prot-1940-urtima-fk--21,5,1,-1,,metadata,,
prot-1940-urtima-fk--21,6,0,-1,,metadata,,
prot-1940-urtima-fk--21,7,0,-1,,metadata,,
prot-1940-urtima-fk--21,7,2,0,560e61985149f31c,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-7-2-0
prot-1940-urtima-fk--21,8,0,-1,,metadata,,
prot-1940-urtima-fk--21,9,0,-1,,metadata,,
prot-1940-urtima-fk--21,9,2,0,8f6bb79aaba3167f,speech_start,viktor_larsson_ddf15d,prot-1940-urtima-fk--21-viktor_larsson_ddf15d-9-2-0
prot-1940-urtima-fk--21,9,2,0,560e61985149f31c,speech_start,viktor_larsson_ddf15d,prot-1940-urtima-fk--21-viktor_larsson_ddf15d-9-2-0
prot-1940-urtima-fk--21,10,0,-1,,metadata,,
prot-1940-urtima-fk--21,10,2,-1,,metadata,,
prot-1940-urtima-fk--21,10,3,0,8f6bb79aaba3167f,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-10-3-0
prot-1940-urtima-fk--21,10,3,0,560e61985149f31c,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-10-3-0
prot-1940-urtima-fk--21,11,0,-1,,metadata,,
prot-1940-urtima-fk--21,12,0,-1,,metadata,,
prot-1940-urtima-fk--21,12,2,0,8f6bb79aaba3167f,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-12-2-0
prot-1940-urtima-fk--21,12,2,0,560e61985149f31c,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-12-2-0
prot-1940-urtima-fk--21,13,0,-1,,metadata,,
prot-1940-urtima-fk--21,14,0,-1,,metadata,,
prot-1940-urtima-fk--21,15,0,-1,,metadata,,
prot-1940-urtima-fk--21,15,2,0,560e61985149f31c,speech_start,carl_lindhagen_4fdf2c,prot-1940-urtima-fk--21-carl_lindhagen_4fdf2c-15-2-0
prot-1940-urtima-fk--21,16,0,-1,,metadata,,
prot-1940-urtima-fk--21,16,5,-1,,metadata,,
prot-1940-urtima-fk--21,16,6,-1,,metadata,,
