protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1942-höst-fk--30,0,0,-1,,metadata,,
prot-1942-höst-fk--30,0,3,-1,,metadata,,
prot-1942-höst-fk--30,0,4,-1,,metadata,,
prot-1942-höst-fk--30,0,5,0,560e61985149f31c,speech_start,,prot-1942-höst-fk--30-unk-0-5-0
prot-1942-höst-fk--30,0,9,-1,,metadata,,
prot-1942-höst-fk--30,0,16,-1,,metadata,,
prot-1942-höst-fk--30,1,0,-1,,metadata,,
prot-1942-höst-fk--30,1,1,-1,,metadata,,
prot-1942-höst-fk--30,1,7,0,560e61985149f31c,speech_start,theodor_nilsson_c93d2f,prot-1942-höst-fk--30-theodor_nilsson_c93d2f-1-7-0
prot-1942-höst-fk--30,1,8,0,8f6bb79aaba3167f,speech_start,anders_johan_barg_f35781,prot-1942-höst-fk--30-anders_johan_barg_f35781-1-8-0
prot-1942-höst-fk--30,2,0,-1,,metadata,,
prot-1942-höst-fk--30,2,3,-1,,metadata,,
prot-1942-höst-fk--30,2,4,-1,,metadata,,
prot-1942-höst-fk--30,2,5,-1,,metadata,,
