protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1946-höst-ak--42,0,0,-1,,metadata,,
prot-1946-höst-ak--42,0,3,-1,,metadata,,
prot-1946-höst-ak--42,0,4,-1,,metadata,,
prot-1946-höst-ak--42,0,9,-1,,metadata,,
prot-1946-höst-ak--42,1,0,-1,,metadata,,
prot-1946-höst-ak--42,1,5,0,8f6bb79aaba3167f,speech_start,martin_skoglund_a58f6d,prot-1946-höst-ak--42-martin_skoglund_a58f6d--1
prot-1946-höst-ak--42,1,9,0,8f6bb79aaba3167f,speech_start,martin_skoglund_a58f6d,prot-1946-höst-ak--42-martin_skoglund_a58f6d--2
prot-1946-höst-ak--42,2,0,-1,,metadata,,
prot-1946-höst-ak--42,3,0,-1,,metadata,,
prot-1946-höst-ak--42,4,0,-1,,metadata,,
prot-1946-höst-ak--42,4,2,0,8f6bb79aaba3167f,speech_start,olof_andersson_c2a513,prot-1946-höst-ak--42-olof_andersson_c2a513--1
prot-1946-höst-ak--42,5,0,-1,,metadata,,
prot-1946-höst-ak--42,6,0,-1,,metadata,,
prot-1946-höst-ak--42,7,0,-1,,metadata,,
prot-1946-höst-ak--42,8,0,-1,,metadata,,
prot-1946-höst-ak--42,8,3,0,8f6bb79aaba3167f,speech_start,greta_moller_347135,prot-1946-höst-ak--42-greta_moller_347135--1
prot-1946-höst-ak--42,9,0,-1,,metadata,,
prot-1946-höst-ak--42,10,0,-1,,metadata,,
prot-1946-höst-ak--42,11,0,-1,,metadata,,
prot-1946-höst-ak--42,12,0,-1,,metadata,,
prot-1946-höst-ak--42,13,0,-1,,metadata,,
prot-1946-höst-ak--42,14,0,-1,,metadata,,
prot-1946-höst-ak--42,14,2,0,8f6bb79aaba3167f,speech_start,martin_skoglund_a58f6d,prot-1946-höst-ak--42-martin_skoglund_a58f6d--3
prot-1946-höst-ak--42,14,3,0,8f6bb79aaba3167f,speech_start,olof_andersson_c2a513,prot-1946-höst-ak--42-olof_andersson_c2a513--2
prot-1946-höst-ak--42,15,0,-1,,metadata,,
prot-1946-höst-ak--42,15,2,-1,,metadata,,
