protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1947--ak--24,0,0,-1,,metadata,,
prot-1947--ak--24,0,3,-1,,metadata,,
prot-1947--ak--24,0,5,-1,,metadata,,
prot-1947--ak--24,0,7,-1,,metadata,,
prot-1947--ak--24,0,11,0,8f6bb79aaba3167f,speech_start,,prot-1947--ak--24-unk--1
prot-1947--ak--24,0,12,-1,,metadata,,
prot-1947--ak--24,0,13,-1,,metadata,,
prot-1947--ak--24,1,0,-1,,metadata,,
prot-1947--ak--24,2,0,-1,,metadata,,
prot-1947--ak--24,3,0,-1,,metadata,,
prot-1947--ak--24,3,3,0,8f6bb79aaba3167f,speech_start,ersatt_av:_lisa_johansson_fd70a0,prot-1947--ak--24-ersatt_av:_lisa_johansson_fd70a0--1
prot-1947--ak--24,4,0,-1,,metadata,,
prot-1947--ak--24,4,1,-1,,metadata,,
prot-1947--ak--24,5,0,-1,,metadata,,
prot-1947--ak--24,5,2,0,8f6bb79aaba3167f,speech_start,ersatt_av:_hildur_ericsson_83af78,prot-1947--ak--24-ersatt_av:_hildur_ericsson_83af78--1
prot-1947--ak--24,6,0,-1,,metadata,,
prot-1947--ak--24,7,0,-1,,metadata,,
prot-1947--ak--24,7,2,0,8f6bb79aaba3167f,speech_start,verner_hedlund_74aa86,prot-1947--ak--24-verner_hedlund_74aa86--1
prot-1947--ak--24,8,0,-1,,metadata,,
prot-1947--ak--24,8,2,0,8f6bb79aaba3167f,speech_start,ersatt_av:_lisa_johansson_fd70a0,prot-1947--ak--24-ersatt_av:_lisa_johansson_fd70a0--2
prot-1947--ak--24,8,3,0,8f6bb79aaba3167f,speech_start,ersatt_av:_hildur_ericsson_83af78,prot-1947--ak--24-ersatt_av:_hildur_ericsson_83af78--2
prot-1947--ak--24,9,0,-1,,metadata,,
prot-1947--ak--24,9,7,-1,,metadata,,
prot-1947--ak--24,10,0,-1,,metadata,,
prot-1947--ak--24,11,0,-1,,metadata,,
prot-1947--ak--24,11,8,-1,,metadata,,
prot-1947--ak--24,11,11,-1,,metadata,,
prot-1947--ak--24,12,0,-1,,metadata,,
prot-1947--ak--24,12,5,-1,,metadata,,
prot-1947--ak--24,12,6,-1,,metadata,,
prot-1947--ak--24,12,7,-1,,metadata,,
prot-1947--ak--24,12,8,-1,,metadata,,
prot-1947--ak--24,12,9,-1,,metadata,,
prot-1947--ak--24,12,11,-1,,metadata,,
prot-1947--ak--24,12,13,-1,,metadata,,
prot-1947--ak--24,13,0,-1,,metadata,,
prot-1947--ak--24,13,1,-1,,metadata,,
prot-1947--ak--24,13,11,-1,,metadata,,
prot-1947--ak--24,13,13,-1,,metadata,,
prot-1947--ak--24,14,0,-1,,metadata,,
prot-1947--ak--24,14,2,-1,,metadata,,
prot-1947--ak--24,14,6,-1,,metadata,,
prot-1947--ak--24,14,7,-1,,metadata,,
prot-1947--ak--24,14,8,-1,,metadata,,
prot-1947--ak--24,15,0,-1,,metadata,,
prot-1947--ak--24,15,1,-1,,metadata,,
prot-1947--ak--24,15,2,-1,,metadata,,
prot-1947--ak--24,15,3,-1,,metadata,,
prot-1947--ak--24,15,5,0,8f6bb79aaba3167f,speech_start,,prot-1947--ak--24-unk--2
