protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1951-extrahöst-ak--35,0,0,,,metadata,
prot-1951-extrahöst-ak--35,0,2,,,metadata,
prot-1951-extrahöst-ak--35,0,4,,,metadata,
prot-1951-extrahöst-ak--35,0,5,,,metadata,
prot-1951-extrahöst-ak--35,1,0,,,metadata,
prot-1951-extrahöst-ak--35,1,2,,,metadata,
prot-1951-extrahöst-ak--35,1,4,,,metadata,
prot-1951-extrahöst-ak--35,1,5,,,metadata,
prot-1951-extrahöst-ak--35,1,6,,,metadata,
prot-1951-extrahöst-ak--35,1,12,,,metadata,
prot-1951-extrahöst-ak--35,2,0,,,metadata,
prot-1951-extrahöst-ak--35,2,2,,,metadata,
prot-1951-extrahöst-ak--35,3,1,,,metadata,
prot-1951-extrahöst-ak--35,4,0,,,metadata,
prot-1951-extrahöst-ak--35,4,1,,,metadata,
prot-1951-extrahöst-ak--35,4,2,,,metadata,
prot-1951-extrahöst-ak--35,4,3,,,metadata,
prot-1951-extrahöst-ak--35,4,5,,,metadata,
prot-1951-extrahöst-ak--35,4,10,,,metadata,
prot-1951-extrahöst-ak--35,4,16,,,metadata,
prot-1951-extrahöst-ak--35,4,18,,,metadata,
prot-1951-extrahöst-ak--35,4,19,,,metadata,
prot-1951-extrahöst-ak--35,4,20,,,metadata,
prot-1951-extrahöst-ak--35,5,0,,,metadata,
prot-1951-extrahöst-ak--35,5,1,,,metadata,
prot-1951-extrahöst-ak--35,5,2,,,metadata,
prot-1951-extrahöst-ak--35,5,3,,,metadata,
prot-1951-extrahöst-ak--35,5,5,,,metadata,
prot-1951-extrahöst-ak--35,5,7,,8f6bb79aaba3167f,speech_start,
prot-1951-extrahöst-ak--35,6,0,,,metadata,
prot-1951-extrahöst-ak--35,6,1,,,metadata,
prot-1951-extrahöst-ak--35,6,3,,,metadata,
prot-1951-extrahöst-ak--35,6,4,,,metadata,
prot-1951-extrahöst-ak--35,6,5,,8f6bb79aaba3167f,speech_start,Torsten Nilsson
prot-1951-extrahöst-ak--35,7,0,,,metadata,
prot-1951-extrahöst-ak--35,7,1,,,metadata,
prot-1951-extrahöst-ak--35,7,6,,8f6bb79aaba3167f,speech_start,Sam Norup
prot-1951-extrahöst-ak--35,8,0,,,metadata,
prot-1951-extrahöst-ak--35,8,1,,,metadata,
prot-1951-extrahöst-ak--35,8,3,,,metadata,
prot-1951-extrahöst-ak--35,8,5,,,metadata,
prot-1951-extrahöst-ak--35,8,6,,8f6bb79aaba3167f,speech_start,Karl Emil Hansson
prot-1951-extrahöst-ak--35,8,11,,,metadata,
prot-1951-extrahöst-ak--35,8,14,,8f6bb79aaba3167f,speech_start,Sam Norup
