protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1951-extrahöst-fk--34,0,0,,,metadata,
prot-1951-extrahöst-fk--34,0,2,,,metadata,
prot-1951-extrahöst-fk--34,0,4,,,metadata,
prot-1951-extrahöst-fk--34,0,5,,,metadata,
prot-1951-extrahöst-fk--34,0,6,,,metadata,
prot-1951-extrahöst-fk--34,0,9,,,metadata,
prot-1951-extrahöst-fk--34,0,11,,,metadata,
prot-1951-extrahöst-fk--34,1,0,,,metadata,
prot-1951-extrahöst-fk--34,1,2,,,metadata,
prot-1951-extrahöst-fk--34,1,3,,,metadata,
prot-1951-extrahöst-fk--34,1,8,,,metadata,
prot-1951-extrahöst-fk--34,1,9,,,metadata,
prot-1951-extrahöst-fk--34,1,10,,,metadata,
prot-1951-extrahöst-fk--34,1,11,,,metadata,
prot-1951-extrahöst-fk--34,1,12,,,metadata,
prot-1951-extrahöst-fk--34,1,13,,,metadata,
prot-1951-extrahöst-fk--34,1,14,,,metadata,
prot-1951-extrahöst-fk--34,1,15,,,metadata,
prot-1951-extrahöst-fk--34,1,16,,,metadata,
prot-1951-extrahöst-fk--34,1,17,,,metadata,
prot-1951-extrahöst-fk--34,1,18,,,metadata,
prot-1951-extrahöst-fk--34,2,0,,,metadata,
prot-1951-extrahöst-fk--34,2,1,,,metadata,
prot-1951-extrahöst-fk--34,2,2,,,metadata,
prot-1951-extrahöst-fk--34,2,8,,,metadata,
prot-1951-extrahöst-fk--34,2,10,,,metadata,
prot-1951-extrahöst-fk--34,2,11,,,metadata,
prot-1951-extrahöst-fk--34,3,0,,,metadata,
prot-1951-extrahöst-fk--34,3,3,,,metadata,
prot-1951-extrahöst-fk--34,3,10,,,metadata,
prot-1951-extrahöst-fk--34,4,0,,,metadata,
prot-1951-extrahöst-fk--34,4,1,,,metadata,
prot-1951-extrahöst-fk--34,4,2,,,metadata,
prot-1951-extrahöst-fk--34,4,9,,8f6bb79aaba3167f,speech_start,Einar Eriksson
prot-1951-extrahöst-fk--34,5,0,,,metadata,
prot-1951-extrahöst-fk--34,5,1,,,metadata,
prot-1951-extrahöst-fk--34,6,0,,,metadata,
prot-1951-extrahöst-fk--34,6,1,,,metadata,
prot-1951-extrahöst-fk--34,6,5,,8f6bb79aaba3167f,speech_start,
prot-1951-extrahöst-fk--34,7,0,,,metadata,
prot-1951-extrahöst-fk--34,7,1,,,metadata,
prot-1951-extrahöst-fk--34,7,6,,,metadata,
prot-1951-extrahöst-fk--34,8,0,,,metadata,
prot-1951-extrahöst-fk--34,8,1,,,metadata,
prot-1951-extrahöst-fk--34,9,0,,,metadata,
prot-1951-extrahöst-fk--34,9,1,,,metadata,
prot-1951-extrahöst-fk--34,9,4,,8f6bb79aaba3167f,speech_start,Gunnar Sträng
prot-1951-extrahöst-fk--34,10,0,,,metadata,
