protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1954-höst-fk--27,0,2,,,metadata,
prot-1954-höst-fk--27,0,3,,,metadata,
prot-1954-höst-fk--27,0,4,,,metadata,
prot-1954-höst-fk--27,0,8,,,metadata,
prot-1954-höst-fk--27,2,0,,,metadata,
prot-1954-höst-fk--27,2,1,,,metadata,
prot-1954-höst-fk--27,2,2,,,metadata,
prot-1954-höst-fk--27,2,3,,,metadata,
prot-1954-höst-fk--27,3,0,,,metadata,
prot-1954-höst-fk--27,3,1,,,metadata,
prot-1954-höst-fk--27,4,0,,,metadata,
prot-1954-höst-fk--27,4,1,,,metadata,
prot-1954-höst-fk--27,4,9,,,metadata,
prot-1954-höst-fk--27,4,10,,,metadata,
prot-1954-höst-fk--27,5,0,,,metadata,
prot-1954-höst-fk--27,5,1,,,metadata,
prot-1954-höst-fk--27,5,2,,,metadata,
prot-1954-höst-fk--27,5,12,,,metadata,
prot-1954-höst-fk--27,5,13,,,metadata,
