,filename,pattern,txt,person
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HECKSCHER (h):,Gunnar Heckscher
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HECKSCHER (h):,Gunnar Heckscher
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr FORSBERG (s):,Anders Forsberg
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr FORSBERG (s):,Anders Forsberg
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr CARBELL (s):,Erland Carbell
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr CARBELL (s):,Erland Carbell
0,prot-1958-a-ak--18,0ba23c147c1beed8,Fru LINDSKOG (s):,Elsa Lindskog
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr CARBELL (s):,Erland Carbell
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr ADAMSSON (s):,Erik Adamsson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr AHLSTEN (fp):,Johan Ahlsten
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr NORUP (cp):,Sam Norup
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr KILSMO (fp):,Karl Kilsmo
0,prot-1958-a-ak--18,0ba23c147c1beed8,Fru BOMAN (h):,Märta Boman
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr KÖNIGSON (fp):,Ture Königson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr LINDSTRÖM (s):,Helge Lindström
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr AGERBERG (h):,Nils Agerberg
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr SETTERBERG (h):,Einar Setterberg
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr LUNDBERG (s):,John Lundberg
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr BOILJA (fp):,
1,prot-1958-a-ak--18,0ba23c147c1beed8,Herr BÖRJESSON (cp):,Fritz Börjesson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr LUNDQVIST (s):,Artur Lundqvist
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HAGNELL (s):,Hans Hagnell
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr WACHTMEISTER (h):,Hans Wachtmeister
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr STAXÄNG (h):,
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr LEVIN (s):,Hans Levin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HEDIN (h):,Carl-Eric Hedin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HJALMARSON (h):,Jarl Hjalmarson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HEDLUND (cp):,Gunnar Hedlund
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HEDLUND (cp):,Gunnar Hedlund
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HJALMARSON (h):,Jarl Hjalmarson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HJALMARSON (h):,Jarl Hjalmarson
0,prot-1958-a-ak--18,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
1,prot-1958-a-ak--18,0ba23c147c1beed8,Herr HJALMARSON (h):,Jarl Hjalmarson
