protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1958-a-ak--9,0,1,,,metadata,
prot-1958-a-ak--9,0,2,,,metadata,
prot-1958-a-ak--9,0,4,,,metadata,
prot-1958-a-ak--9,0,5,,,metadata,
prot-1958-a-ak--9,0,6,,,metadata,
prot-1958-a-ak--9,0,9,,,metadata,
prot-1958-a-ak--9,0,10,,,metadata,
prot-1958-a-ak--9,1,0,,,metadata,
prot-1958-a-ak--9,1,1,,,metadata,
prot-1958-a-ak--9,1,5,,,metadata,
prot-1958-a-ak--9,2,0,,,metadata,
prot-1958-a-ak--9,2,6,,,metadata,
prot-1958-a-ak--9,2,8,,,metadata,
prot-1958-a-ak--9,2,11,,,metadata,
prot-1958-a-ak--9,2,12,,,metadata,
prot-1958-a-ak--9,2,13,,,metadata,
prot-1958-a-ak--9,2,14,,,metadata,
prot-1958-a-ak--9,2,15,,,metadata,
prot-1958-a-ak--9,2,16,,,metadata,
prot-1958-a-ak--9,2,17,,,metadata,
prot-1958-a-ak--9,2,18,,,metadata,
prot-1958-a-ak--9,2,19,,,metadata,
prot-1958-a-ak--9,2,20,,,metadata,
prot-1958-a-ak--9,2,21,,,metadata,
prot-1958-a-ak--9,2,22,,,metadata,
prot-1958-a-ak--9,2,23,,,metadata,
prot-1958-a-ak--9,2,24,,,metadata,
prot-1958-a-ak--9,3,0,,,metadata,
prot-1958-a-ak--9,4,0,,,metadata,
prot-1958-a-ak--9,4,1,,,metadata,
prot-1958-a-ak--9,4,2,,,metadata,
prot-1958-a-ak--9,4,3,,,metadata,
prot-1958-a-ak--9,4,5,,,metadata,
prot-1958-a-ak--9,4,13,,,metadata,
prot-1958-a-ak--9,5,0,,,metadata,
prot-1958-a-ak--9,5,1,,,metadata,
prot-1958-a-ak--9,5,4,,,metadata,
prot-1958-a-ak--9,5,5,,f0d538d10bda4e34,speech_start,Erland Carbell
prot-1958-a-ak--9,5,5,,0ba23c147c1beed8,speech_start,Erland Carbell
prot-1958-a-ak--9,5,7,,,metadata,
prot-1958-a-ak--9,6,0,,,metadata,
prot-1958-a-ak--9,6,1,,,metadata,
prot-1958-a-ak--9,7,0,,,metadata,
prot-1958-a-ak--9,7,1,,,metadata,
prot-1958-a-ak--9,7,4,,,metadata,
prot-1958-a-ak--9,7,5,,f0d538d10bda4e34,speech_start,Ragnhild Sandström
prot-1958-a-ak--9,7,5,,0ba23c147c1beed8,speech_start,Ragnhild Sandström
prot-1958-a-ak--9,8,0,,,metadata,
prot-1958-a-ak--9,8,1,,,metadata,
prot-1958-a-ak--9,9,0,,,metadata,
prot-1958-a-ak--9,9,1,,,metadata,
prot-1958-a-ak--9,10,0,,,metadata,
prot-1958-a-ak--9,10,1,,,metadata,
prot-1958-a-ak--9,11,0,,,metadata,
prot-1958-a-ak--9,11,1,,,metadata,
prot-1958-a-ak--9,12,0,,,metadata,
prot-1958-a-ak--9,12,1,,,metadata,
prot-1958-a-ak--9,13,0,,,metadata,
prot-1958-a-ak--9,13,1,,,metadata,
prot-1958-a-ak--9,13,3,,f0d538d10bda4e34,speech_start,Olof Wiklund
prot-1958-a-ak--9,13,3,,0ba23c147c1beed8,speech_start,Olof Wiklund
prot-1958-a-ak--9,14,0,,,metadata,
prot-1958-a-ak--9,14,1,,,metadata,
prot-1958-a-ak--9,15,0,,,metadata,
prot-1958-a-ak--9,15,1,,,metadata,
prot-1958-a-ak--9,16,0,,,metadata,
prot-1958-a-ak--9,16,1,,,metadata,
prot-1958-a-ak--9,16,6,,,metadata,
prot-1958-a-ak--9,17,0,,,metadata,
prot-1958-a-ak--9,17,1,,,metadata,
prot-1958-a-ak--9,17,5,,f0d538d10bda4e34,speech_start,Carl-Wilhelm Lothigius
prot-1958-a-ak--9,17,5,,0ba23c147c1beed8,speech_start,Carl-Wilhelm Lothigius
prot-1958-a-ak--9,18,0,,,metadata,
prot-1958-a-ak--9,18,1,,,metadata,
prot-1958-a-ak--9,19,0,,,metadata,
prot-1958-a-ak--9,19,1,,,metadata,
prot-1958-a-ak--9,20,0,,,metadata,
prot-1958-a-ak--9,20,1,,,metadata,
prot-1958-a-ak--9,20,2,,,metadata,
prot-1958-a-ak--9,21,0,,,metadata,
prot-1958-a-ak--9,21,1,,,metadata,
prot-1958-a-ak--9,21,4,,f0d538d10bda4e34,speech_start,Hans Hagnell
prot-1958-a-ak--9,21,4,,0ba23c147c1beed8,speech_start,Hans Hagnell
prot-1958-a-ak--9,22,0,,,metadata,
prot-1958-a-ak--9,22,1,,,metadata,
prot-1958-a-ak--9,22,4,,f0d538d10bda4e34,speech_start,Ragnhild Sandström
prot-1958-a-ak--9,22,4,,0ba23c147c1beed8,speech_start,Ragnhild Sandström
