protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1958-a-fk--1,0,2,-1,,metadata,,
prot-1958-a-fk--1,0,4,-1,,metadata,,
prot-1958-a-fk--1,0,5,-1,,metadata,,
prot-1958-a-fk--1,0,7,-1,,metadata,,
prot-1958-a-fk--1,0,9,-1,,metadata,,
prot-1958-a-fk--1,0,11,-1,,metadata,,
prot-1958-a-fk--1,0,14,-1,,metadata,,
prot-1958-a-fk--1,0,16,-1,,metadata,,
prot-1958-a-fk--1,1,0,-1,,metadata,,
prot-1958-a-fk--1,1,4,-1,,metadata,,
prot-1958-a-fk--1,2,0,-1,,metadata,,
prot-1958-a-fk--1,2,1,-1,,metadata,,
prot-1958-a-fk--1,2,3,-1,,metadata,,
prot-1958-a-fk--1,2,4,-1,,metadata,,
prot-1958-a-fk--1,3,0,-1,,metadata,,
prot-1958-a-fk--1,3,5,-1,,metadata,,
prot-1958-a-fk--1,3,7,-1,,metadata,,
prot-1958-a-fk--1,3,9,-1,,metadata,,
prot-1958-a-fk--1,3,14,-1,,metadata,,
prot-1958-a-fk--1,3,15,-1,,metadata,,
prot-1958-a-fk--1,3,19,-1,,metadata,,
prot-1958-a-fk--1,3,20,-1,,metadata,,
prot-1958-a-fk--1,4,0,-1,,metadata,,
prot-1958-a-fk--1,4,2,-1,,metadata,,
prot-1958-a-fk--1,4,11,-1,,metadata,,
prot-1958-a-fk--1,4,12,-1,,metadata,,
prot-1958-a-fk--1,4,13,-1,,metadata,,
prot-1958-a-fk--1,4,18,-1,,metadata,,
prot-1958-a-fk--1,4,20,-1,,metadata,,
prot-1958-a-fk--1,4,21,-1,,metadata,,
prot-1958-a-fk--1,4,25,-1,,metadata,,
prot-1958-a-fk--1,4,27,-1,,metadata,,
prot-1958-a-fk--1,5,0,-1,,metadata,,
prot-1958-a-fk--1,5,7,-1,,metadata,,
prot-1958-a-fk--1,5,11,-1,,metadata,,
prot-1958-a-fk--1,5,13,-1,,metadata,,
prot-1958-a-fk--1,5,14,-1,,metadata,,
prot-1958-a-fk--1,6,0,-1,,metadata,,
prot-1958-a-fk--1,6,1,-1,,metadata,,
prot-1958-a-fk--1,6,2,-1,,metadata,,
prot-1958-a-fk--1,6,3,-1,,metadata,,
prot-1958-a-fk--1,6,6,-1,,metadata,,
prot-1958-a-fk--1,6,12,-1,,metadata,,
prot-1958-a-fk--1,6,15,0,560e61985149f31c,speech_start,,prot-1958-a-fk--1-unk-6-15-0
prot-1958-a-fk--1,6,16,-1,,metadata,,
prot-1958-a-fk--1,7,0,-1,,metadata,,
prot-1958-a-fk--1,7,2,-1,,metadata,,
prot-1958-a-fk--1,7,5,-1,,metadata,,
prot-1958-a-fk--1,7,6,-1,,metadata,,
