,filename,pattern,txt,person
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr SCHMIDT (fp):,Carl Schmidt
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BOO (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ELIASSON (cp):,Rolf Eliasson
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr PERSSON, HELMER, (k):",Sven Persson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr KRUGEL (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr SCHMIDT (fp):,Carl Schmidt
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ELIASSON (cp):,Rolf Eliasson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BOO (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr SCHMIDT (fp):,Carl Schmidt
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr KRÖUGEL (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr MOGÅRD (s):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BOO (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr PERSSON, HELMER, (k):",Sven Persson
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr BERGH, RAGNAR, (h):",
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr BERG, GUNNAR, (s):",
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr HESSELBOM (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr LARSSON, SIGFRID, (cp):",Martin Larsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr SVENINGSSON (h):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr PETTERSSON, GEORG, (s):",John Pettersson
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr PETTERSSON, GEORG, (s):",John Pettersson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JACOBSSON (fp):,Ernst Jacobsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BERGMAN (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JACOBSSON (fp):,Ernst Jacobsson
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BERGMAN (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr NILSSON, HJALMAR, (s):",Torsten Nilsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr BERGMAN (ss):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ESKILSSON (h):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr SVEDBERG, LAGE, (s):",Ellen Svedberg
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr HANSSON, NILS, (fp):",Stig F. Hansson
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ESKILSSON (h):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr HANSSON, NILS, (fp):",Stig F. Hansson
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr LARSSON, SIGFRID, (cp):",Martin Larsson
1,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr HANSSON, NILS, (fp):",Stig F. Hansson
2,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr HERMANSSON (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr MOSSBERGER (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JONASSON (cp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr SVEDBERG, LAGE, (s):",Ellen Svedberg
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr LARSSON, SIGFRID, (cp):",Martin Larsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr LARSSON, SIGFRID, (cp):",Martin Larsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JONSSON (ss):,Sigfrid Jonsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr DOMÖ (h):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr DOMÖ (h):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Fru SVENSON (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr SUNDIN (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr KRÖGEL (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
2,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JONSSON (s):,Sigfrid Jonsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JONSSON (s):,Sigfrid Jonsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr JONSSON (s):,Sigfrid Jonsson
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ANDERBERG (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr STRANDLER (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr HESSELBOM (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr HESSELBOM (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr STRANDLER (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WAHLUND (cp):,Sten Wahlund
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WAHLUND (cp):,Sten Wahlund
0,prot-1958-a-fk--11,0ba23c147c1beed8,Fru GÄRDE WIDEMAR (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-a-fk--11,0ba23c147c1beed8,Fru GÄRDE WIDEMAR (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Fru GÄRDE WIDEMAR (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ARVIDSON (h):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr LINDBLOM (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,"Herr ELOFSSON, GUSTAF, (cp):",
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr ALEXANDERSON (fp):,
1,prot-1958-a-fk--11,0ba23c147c1beed8,Herr LINDBLOM (fp):,
0,prot-1958-a-fk--11,0ba23c147c1beed8,Herr WOLGAST (cp):,
