protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1958-a-fk--15,0,2,,,metadata,
prot-1958-a-fk--15,0,4,,,metadata,
prot-1958-a-fk--15,0,5,,,metadata,
prot-1958-a-fk--15,0,9,,,metadata,
prot-1958-a-fk--15,1,0,,,metadata,
prot-1958-a-fk--15,1,5,,,metadata,
prot-1958-a-fk--15,1,6,,,metadata,
prot-1958-a-fk--15,1,7,,,metadata,
prot-1958-a-fk--15,1,8,,,metadata,
prot-1958-a-fk--15,1,9,,,metadata,
prot-1958-a-fk--15,1,10,,,metadata,
prot-1958-a-fk--15,2,0,,,metadata,
prot-1958-a-fk--15,2,1,,,metadata,
prot-1958-a-fk--15,2,2,,,metadata,
prot-1958-a-fk--15,2,3,,,metadata,
prot-1958-a-fk--15,2,14,,,metadata,
prot-1958-a-fk--15,3,0,,,metadata,
prot-1958-a-fk--15,3,1,,,metadata,
prot-1958-a-fk--15,3,2,,,metadata,
prot-1958-a-fk--15,3,3,,,metadata,
prot-1958-a-fk--15,4,0,,,metadata,
prot-1958-a-fk--15,4,1,,,metadata,
prot-1958-a-fk--15,4,5,,f0d538d10bda4e34,speech_start,Sven Sundin
prot-1958-a-fk--15,4,5,,0ba23c147c1beed8,speech_start,Sven Sundin
prot-1958-a-fk--15,5,0,,,metadata,
prot-1958-a-fk--15,5,2,,,metadata,
prot-1958-a-fk--15,6,0,,,metadata,
prot-1958-a-fk--15,6,1,,,metadata,
prot-1958-a-fk--15,6,4,,0ba23c147c1beed8,speech_start,Ragnar Persson
prot-1958-a-fk--15,7,0,,,metadata,
prot-1958-a-fk--15,7,3,,f0d538d10bda4e34,speech_start,Sven Sundin
prot-1958-a-fk--15,7,3,,0ba23c147c1beed8,speech_start,Sven Sundin
prot-1958-a-fk--15,7,4,,,metadata,
prot-1958-a-fk--15,7,5,,,metadata,
prot-1958-a-fk--15,7,7,,0ba23c147c1beed8,speech_start,Ragnar Persson
prot-1958-a-fk--15,8,0,,,metadata,
prot-1958-a-fk--15,8,1,,,metadata,
prot-1958-a-fk--15,8,4,,0ba23c147c1beed8,speech_start,Ragnar Persson
prot-1958-a-fk--15,9,0,,,metadata,
prot-1958-a-fk--15,9,1,,,metadata,
prot-1958-a-fk--15,9,4,,f0d538d10bda4e34,speech_start,Rolf Kaijser
prot-1958-a-fk--15,9,4,,0ba23c147c1beed8,speech_start,Rolf Kaijser
prot-1958-a-fk--15,10,0,,,metadata,
prot-1958-a-fk--15,10,1,,,metadata,
prot-1958-a-fk--15,11,0,,,metadata,
prot-1958-a-fk--15,11,1,,,metadata,
prot-1958-a-fk--15,11,4,,f0d538d10bda4e34,speech_start,Sven Ohlon
prot-1958-a-fk--15,11,4,,0ba23c147c1beed8,speech_start,Sven Ohlon
prot-1958-a-fk--15,12,0,,,metadata,
prot-1958-a-fk--15,12,1,,,metadata,
prot-1958-a-fk--15,13,0,,,metadata,
prot-1958-a-fk--15,13,1,,,metadata,
