protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1958-b-ak--12,0,3,,,metadata,
prot-1958-b-ak--12,0,5,,,metadata,
prot-1958-b-ak--12,0,6,,,metadata,
prot-1958-b-ak--12,0,8,,,metadata,
prot-1958-b-ak--12,0,10,,,metadata,
prot-1958-b-ak--12,0,12,,,metadata,
prot-1958-b-ak--12,0,13,,,metadata,
prot-1958-b-ak--12,0,14,,,metadata,
prot-1958-b-ak--12,0,15,,,metadata,
prot-1958-b-ak--12,0,16,,,metadata,
prot-1958-b-ak--12,0,17,,,metadata,
prot-1958-b-ak--12,0,18,,,metadata,
prot-1958-b-ak--12,0,19,,,metadata,
prot-1958-b-ak--12,0,20,,,metadata,
prot-1958-b-ak--12,0,21,,,metadata,
prot-1958-b-ak--12,0,22,,,metadata,
prot-1958-b-ak--12,1,0,,,metadata,
prot-1958-b-ak--12,1,2,,,metadata,
prot-1958-b-ak--12,1,5,,,metadata,
prot-1958-b-ak--12,1,7,,,metadata,
prot-1958-b-ak--12,1,9,,,metadata,
prot-1958-b-ak--12,1,10,,,metadata,
prot-1958-b-ak--12,1,11,,,metadata,
prot-1958-b-ak--12,1,12,,,metadata,
prot-1958-b-ak--12,1,13,,,metadata,
prot-1958-b-ak--12,1,14,,,metadata,
prot-1958-b-ak--12,1,15,,,metadata,
prot-1958-b-ak--12,1,16,,,metadata,
prot-1958-b-ak--12,2,0,,,metadata,
prot-1958-b-ak--12,2,1,,,metadata,
prot-1958-b-ak--12,2,2,,,metadata,
prot-1958-b-ak--12,2,4,,,metadata,
prot-1958-b-ak--12,2,8,,,metadata,
prot-1958-b-ak--12,2,9,,f0d538d10bda4e34,speech_start,Carl-Wilhelm Lothigius
prot-1958-b-ak--12,2,9,,0ba23c147c1beed8,speech_start,Carl-Wilhelm Lothigius
prot-1958-b-ak--12,3,0,,,metadata,
prot-1958-b-ak--12,3,1,,,metadata,
prot-1958-b-ak--12,3,6,,f0d538d10bda4e34,speech_start,Carl-Wilhelm Lothigius
prot-1958-b-ak--12,3,6,,0ba23c147c1beed8,speech_start,Carl-Wilhelm Lothigius
prot-1958-b-ak--12,4,0,,,metadata,
prot-1958-b-ak--12,4,1,,,metadata,
prot-1958-b-ak--12,4,8,,,metadata,
prot-1958-b-ak--12,5,0,,,metadata,
prot-1958-b-ak--12,5,1,,,metadata,
prot-1958-b-ak--12,5,5,,,metadata,
prot-1958-b-ak--12,5,6,,f0d538d10bda4e34,speech_start,Ragnar Lassinantti
prot-1958-b-ak--12,5,6,,0ba23c147c1beed8,speech_start,Ragnar Lassinantti
prot-1958-b-ak--12,6,0,,,metadata,
prot-1958-b-ak--12,6,3,,,metadata,
prot-1958-b-ak--12,7,0,,,metadata,
prot-1958-b-ak--12,7,1,,,metadata,
prot-1958-b-ak--12,7,3,,,metadata,
prot-1958-b-ak--12,8,0,,,metadata,
prot-1958-b-ak--12,8,1,,,metadata,
prot-1958-b-ak--12,8,3,,,metadata,
prot-1958-b-ak--12,8,5,,,metadata,
prot-1958-b-ak--12,8,6,,f0d538d10bda4e34,speech_start,Einar Rimmerfors
prot-1958-b-ak--12,8,6,,0ba23c147c1beed8,speech_start,Einar Rimmerfors
prot-1958-b-ak--12,9,0,,,metadata,
prot-1958-b-ak--12,9,1,,,metadata,
prot-1958-b-ak--12,9,3,,,metadata,
prot-1958-b-ak--12,10,4,,,metadata,
prot-1958-b-ak--12,10,6,,,metadata,
prot-1958-b-ak--12,10,12,,,metadata,
prot-1958-b-ak--12,11,0,,,metadata,
prot-1958-b-ak--12,11,1,,,metadata,
prot-1958-b-ak--12,12,0,,,metadata,
prot-1958-b-ak--12,12,1,,,metadata,
prot-1958-b-ak--12,12,3,,,metadata,
prot-1958-b-ak--12,12,5,,,metadata,
prot-1958-b-ak--12,12,8,,,metadata,
prot-1958-b-ak--12,12,9,,,metadata,
prot-1958-b-ak--12,12,11,,,metadata,
prot-1958-b-ak--12,12,16,,,metadata,
prot-1958-b-ak--12,13,0,,,metadata,
prot-1958-b-ak--12,13,1,,,metadata,
prot-1958-b-ak--12,14,0,,,metadata,
prot-1958-b-ak--12,14,1,,,metadata,
prot-1958-b-ak--12,15,0,,,metadata,
prot-1958-b-ak--12,15,1,,,metadata,
prot-1958-b-ak--12,15,6,,,metadata,
prot-1958-b-ak--12,16,0,,,metadata,
prot-1958-b-ak--12,16,1,,,metadata,
prot-1958-b-ak--12,16,5,,,metadata,
prot-1958-b-ak--12,17,0,,,metadata,
prot-1958-b-ak--12,17,1,,,metadata,
prot-1958-b-ak--12,17,5,,,metadata,
prot-1958-b-ak--12,18,0,,,metadata,
prot-1958-b-ak--12,18,1,,,metadata,
prot-1958-b-ak--12,19,0,,,metadata,
prot-1958-b-ak--12,19,1,,,metadata,
prot-1958-b-ak--12,20,0,,,metadata,
prot-1958-b-ak--12,20,1,,,metadata,
prot-1958-b-ak--12,20,6,,,metadata,
prot-1958-b-ak--12,20,8,,,metadata,
prot-1958-b-ak--12,21,0,,,metadata,
prot-1958-b-ak--12,21,1,,,metadata,
prot-1958-b-ak--12,22,0,,,metadata,
prot-1958-b-ak--12,22,4,,,metadata,
prot-1958-b-ak--12,23,0,,,metadata,
prot-1958-b-ak--12,23,1,,,metadata,
prot-1958-b-ak--12,24,0,,,metadata,
prot-1958-b-ak--12,24,1,,,metadata,
prot-1958-b-ak--12,24,6,,,metadata,
prot-1958-b-ak--12,24,9,,,metadata,
prot-1958-b-ak--12,24,11,,,metadata,
prot-1958-b-ak--12,25,0,,,metadata,
prot-1958-b-ak--12,25,1,,,metadata,
prot-1958-b-ak--12,25,3,,,metadata,
prot-1958-b-ak--12,25,4,,,metadata,
prot-1958-b-ak--12,25,6,,,metadata,
prot-1958-b-ak--12,26,0,,,metadata,
prot-1958-b-ak--12,26,1,,,metadata,
prot-1958-b-ak--12,26,5,,,metadata,
prot-1958-b-ak--12,26,6,,f0d538d10bda4e34,speech_start,Inga Thorsson
prot-1958-b-ak--12,26,6,,0ba23c147c1beed8,speech_start,Inga Thorsson
prot-1958-b-ak--12,27,0,,,metadata,
prot-1958-b-ak--12,27,1,,,metadata,
prot-1958-b-ak--12,27,4,,f0d538d10bda4e34,speech_start,Annie Jäderberg
prot-1958-b-ak--12,27,4,,0ba23c147c1beed8,speech_start,Annie Jäderberg
prot-1958-b-ak--12,28,0,,,metadata,
prot-1958-b-ak--12,28,1,,,metadata,
prot-1958-b-ak--12,28,4,,,metadata,
prot-1958-b-ak--12,28,5,,f0d538d10bda4e34,speech_start,Inga Thorsson
prot-1958-b-ak--12,28,5,,0ba23c147c1beed8,speech_start,Inga Thorsson
prot-1958-b-ak--12,29,0,,,metadata,
prot-1958-b-ak--12,29,1,,,metadata,
prot-1958-b-ak--12,30,0,,,metadata,
prot-1958-b-ak--12,30,1,,,metadata,
prot-1958-b-ak--12,31,0,,,metadata,
prot-1958-b-ak--12,31,1,,,metadata,
prot-1958-b-ak--12,31,4,,,metadata,
prot-1958-b-ak--12,32,0,,,metadata,
prot-1958-b-ak--12,32,1,,,metadata,
prot-1958-b-ak--12,32,6,,f0d538d10bda4e34,speech_start,Sten Wahlund
prot-1958-b-ak--12,32,6,,0ba23c147c1beed8,speech_start,Sten Wahlund
prot-1958-b-ak--12,32,7,,,metadata,
prot-1958-b-ak--12,33,0,,,metadata,
prot-1958-b-ak--12,33,1,,,metadata,
prot-1958-b-ak--12,34,0,,,metadata,
prot-1958-b-ak--12,34,1,,,metadata,
prot-1958-b-ak--12,34,4,,f0d538d10bda4e34,speech_start,Per Edvin Sköld
prot-1958-b-ak--12,34,4,,0ba23c147c1beed8,speech_start,Per Edvin Sköld
prot-1958-b-ak--12,35,0,,,metadata,
prot-1958-b-ak--12,35,1,,,metadata,
prot-1958-b-ak--12,36,0,,,metadata,
prot-1958-b-ak--12,36,1,,,metadata,
prot-1958-b-ak--12,37,0,,,metadata,
prot-1958-b-ak--12,37,1,,,metadata,
prot-1958-b-ak--12,38,0,,,metadata,
prot-1958-b-ak--12,38,1,,,metadata,
prot-1958-b-ak--12,38,5,,f0d538d10bda4e34,speech_start,Bertil Ohlin
prot-1958-b-ak--12,38,5,,0ba23c147c1beed8,speech_start,Bertil Ohlin
prot-1958-b-ak--12,39,0,,,metadata,
prot-1958-b-ak--12,39,1,,,metadata,
prot-1958-b-ak--12,40,0,,,metadata,
prot-1958-b-ak--12,40,1,,,metadata,
prot-1958-b-ak--12,41,0,,,metadata,
prot-1958-b-ak--12,41,1,,,metadata,
prot-1958-b-ak--12,41,7,,f0d538d10bda4e34,speech_start,Knut Senander
prot-1958-b-ak--12,41,7,,0ba23c147c1beed8,speech_start,Knut Senander
prot-1958-b-ak--12,42,0,,,metadata,
prot-1958-b-ak--12,42,1,,,metadata,
prot-1958-b-ak--12,43,0,,,metadata,
prot-1958-b-ak--12,43,1,,,metadata,
prot-1958-b-ak--12,43,3,,,metadata,
prot-1958-b-ak--12,43,11,,f0d538d10bda4e34,speech_start,Gösta Bohman
prot-1958-b-ak--12,43,11,,0ba23c147c1beed8,speech_start,Gösta Bohman
prot-1958-b-ak--12,44,0,,,metadata,
prot-1958-b-ak--12,44,1,,,metadata,
prot-1958-b-ak--12,45,0,,,metadata,
prot-1958-b-ak--12,45,1,,,metadata,
prot-1958-b-ak--12,46,0,,,metadata,
prot-1958-b-ak--12,46,1,,,metadata,
prot-1958-b-ak--12,46,4,,f0d538d10bda4e34,speech_start,
prot-1958-b-ak--12,47,0,,,metadata,
prot-1958-b-ak--12,47,1,,,metadata,
prot-1958-b-ak--12,47,3,,,metadata,
prot-1958-b-ak--12,47,7,,,metadata,
prot-1958-b-ak--12,48,0,,,metadata,
prot-1958-b-ak--12,48,1,,,metadata,
prot-1958-b-ak--12,48,3,,,metadata,
prot-1958-b-ak--12,48,4,,f0d538d10bda4e34,speech_start,Johannes Antonsson
prot-1958-b-ak--12,48,4,,0ba23c147c1beed8,speech_start,Johannes Antonsson
prot-1958-b-ak--12,48,7,,,metadata,
prot-1958-b-ak--12,48,8,,,metadata,
prot-1958-b-ak--12,49,0,,,metadata,
prot-1958-b-ak--12,49,1,,,metadata,
prot-1958-b-ak--12,49,5,,,metadata,
prot-1958-b-ak--12,49,8,,,metadata,
prot-1958-b-ak--12,49,12,,f0d538d10bda4e34,speech_start,Olaus Nyberg
prot-1958-b-ak--12,49,12,,0ba23c147c1beed8,speech_start,Olaus Nyberg
prot-1958-b-ak--12,50,0,,,metadata,
prot-1958-b-ak--12,50,1,,,metadata,
prot-1958-b-ak--12,50,6,,f0d538d10bda4e34,speech_start,
prot-1958-b-ak--12,51,0,,,metadata,
prot-1958-b-ak--12,51,5,,,metadata,
prot-1958-b-ak--12,51,8,,,metadata,
prot-1958-b-ak--12,51,11,,f0d538d10bda4e34,speech_start,Fritz Börjesson
prot-1958-b-ak--12,51,11,,0ba23c147c1beed8,speech_start,Fritz Börjesson
prot-1958-b-ak--12,52,0,,,metadata,
prot-1958-b-ak--12,52,4,,,metadata,
prot-1958-b-ak--12,52,7,,f0d538d10bda4e34,speech_start,
prot-1958-b-ak--12,53,0,,,metadata,
prot-1958-b-ak--12,53,1,,,metadata,
prot-1958-b-ak--12,53,6,,,metadata,
prot-1958-b-ak--12,54,0,,,metadata,
prot-1958-b-ak--12,54,1,,,metadata,
prot-1958-b-ak--12,55,0,,,metadata,
prot-1958-b-ak--12,55,1,,,metadata,
prot-1958-b-ak--12,55,4,,f0d538d10bda4e34,speech_start,Gösta Bohman
prot-1958-b-ak--12,55,4,,0ba23c147c1beed8,speech_start,Gösta Bohman
prot-1958-b-ak--12,56,0,,,metadata,
prot-1958-b-ak--12,56,1,,,metadata,
prot-1958-b-ak--12,57,0,,,metadata,
prot-1958-b-ak--12,57,1,,,metadata,
prot-1958-b-ak--12,57,4,,,metadata,
prot-1958-b-ak--12,58,0,,,metadata,
prot-1958-b-ak--12,58,1,,,metadata,
prot-1958-b-ak--12,59,0,,,metadata,
prot-1958-b-ak--12,59,1,,,metadata,
prot-1958-b-ak--12,60,0,,,metadata,
prot-1958-b-ak--12,60,1,,,metadata,
prot-1958-b-ak--12,60,4,,,metadata,
prot-1958-b-ak--12,61,0,,,metadata,
prot-1958-b-ak--12,61,1,,,metadata,
prot-1958-b-ak--12,62,0,,,metadata,
prot-1958-b-ak--12,62,1,,,metadata,
prot-1958-b-ak--12,62,6,,f0d538d10bda4e34,speech_start,
prot-1958-b-ak--12,62,6,,0ba23c147c1beed8,speech_start,
prot-1958-b-ak--12,63,0,,,metadata,
prot-1958-b-ak--12,63,1,,,metadata,
prot-1958-b-ak--12,64,0,,,metadata,
prot-1958-b-ak--12,64,1,,,metadata,
prot-1958-b-ak--12,64,6,,,metadata,
prot-1958-b-ak--12,65,0,,,metadata,
prot-1958-b-ak--12,65,1,,,metadata,
prot-1958-b-ak--12,65,4,,f0d538d10bda4e34,speech_start,Gösta Bohman
prot-1958-b-ak--12,65,4,,0ba23c147c1beed8,speech_start,Gösta Bohman
prot-1958-b-ak--12,66,0,,,metadata,
prot-1958-b-ak--12,66,1,,,metadata,
prot-1958-b-ak--12,66,6,,,metadata,
prot-1958-b-ak--12,66,11,,,metadata,
prot-1958-b-ak--12,67,0,,,metadata,
prot-1958-b-ak--12,67,1,,,metadata,
prot-1958-b-ak--12,67,5,,,metadata,
prot-1958-b-ak--12,67,7,,f0d538d10bda4e34,speech_start,Nils Stenberg
prot-1958-b-ak--12,67,7,,0ba23c147c1beed8,speech_start,Nils Stenberg
prot-1958-b-ak--12,68,0,,,metadata,
prot-1958-b-ak--12,68,1,,,metadata,
prot-1958-b-ak--12,68,5,,,metadata,
prot-1958-b-ak--12,69,0,,,metadata,
prot-1958-b-ak--12,69,1,,,metadata,
prot-1958-b-ak--12,69,4,,f0d538d10bda4e34,speech_start,Gösta Darlin
prot-1958-b-ak--12,69,4,,0ba23c147c1beed8,speech_start,Gösta Darlin
prot-1958-b-ak--12,70,0,,,metadata,
prot-1958-b-ak--12,70,1,,,metadata,
prot-1958-b-ak--12,70,5,,f0d538d10bda4e34,speech_start,Harald Kärrlander
prot-1958-b-ak--12,70,5,,0ba23c147c1beed8,speech_start,Harald Kärrlander
prot-1958-b-ak--12,71,0,,,metadata,
prot-1958-b-ak--12,71,1,,,metadata,
prot-1958-b-ak--12,72,0,,,metadata,
prot-1958-b-ak--12,72,1,,,metadata,
prot-1958-b-ak--12,73,0,,,metadata,
prot-1958-b-ak--12,73,1,,,metadata,
prot-1958-b-ak--12,74,0,,,metadata,
prot-1958-b-ak--12,74,1,,,metadata,
prot-1958-b-ak--12,74,8,,f0d538d10bda4e34,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,74,8,,0ba23c147c1beed8,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,75,0,,,metadata,
prot-1958-b-ak--12,75,1,,,metadata,
prot-1958-b-ak--12,75,4,,,metadata,
prot-1958-b-ak--12,75,7,,f0d538d10bda4e34,speech_start,Gösta Darlin
prot-1958-b-ak--12,75,7,,0ba23c147c1beed8,speech_start,Gösta Darlin
prot-1958-b-ak--12,75,8,,f0d538d10bda4e34,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,75,8,,0ba23c147c1beed8,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,76,0,,,metadata,
prot-1958-b-ak--12,76,1,,,metadata,
prot-1958-b-ak--12,76,5,,f0d538d10bda4e34,speech_start,Nils Stenberg
prot-1958-b-ak--12,76,5,,0ba23c147c1beed8,speech_start,Nils Stenberg
prot-1958-b-ak--12,76,6,,f0d538d10bda4e34,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,76,6,,0ba23c147c1beed8,speech_start,Sven Vigelsbo
prot-1958-b-ak--12,76,14,,,metadata,
prot-1958-b-ak--12,77,0,,,metadata,
prot-1958-b-ak--12,77,1,,,metadata,
prot-1958-b-ak--12,78,0,,,metadata,
prot-1958-b-ak--12,78,1,,,metadata,
prot-1958-b-ak--12,79,0,,,metadata,
prot-1958-b-ak--12,79,1,,,metadata,
prot-1958-b-ak--12,80,0,,,metadata,
prot-1958-b-ak--12,80,1,,,metadata,
prot-1958-b-ak--12,80,6,,,metadata,
prot-1958-b-ak--12,81,0,,,metadata,
prot-1958-b-ak--12,81,1,,,metadata,
prot-1958-b-ak--12,81,6,,,metadata,
prot-1958-b-ak--12,81,7,,f0d538d10bda4e34,speech_start,Arendt de Jounge
prot-1958-b-ak--12,82,0,,,metadata,
prot-1958-b-ak--12,82,1,,,metadata,
prot-1958-b-ak--12,83,0,,,metadata,
prot-1958-b-ak--12,83,1,,,metadata,
