protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1958-b-ak--2,0,0,-1,,metadata,,
prot-1958-b-ak--2,0,4,-1,,metadata,,
prot-1958-b-ak--2,0,6,-1,,metadata,,
prot-1958-b-ak--2,0,7,-1,,metadata,,
prot-1958-b-ak--2,0,9,-1,,metadata,,
prot-1958-b-ak--2,2,0,-1,,metadata,,
prot-1958-b-ak--2,2,1,-1,,metadata,,
prot-1958-b-ak--2,2,2,-1,,metadata,,
prot-1958-b-ak--2,2,3,-1,,metadata,,
prot-1958-b-ak--2,2,5,-1,,metadata,,
prot-1958-b-ak--2,2,12,-1,,metadata,,
prot-1958-b-ak--2,2,16,-1,,metadata,,
prot-1958-b-ak--2,3,0,-1,,metadata,,
prot-1958-b-ak--2,3,1,-1,,metadata,,
prot-1958-b-ak--2,3,3,-1,,metadata,,
prot-1958-b-ak--2,3,6,-1,,metadata,,
prot-1958-b-ak--2,4,0,-1,,metadata,,
prot-1958-b-ak--2,4,2,-1,,metadata,,
prot-1958-b-ak--2,4,4,-1,,metadata,,
prot-1958-b-ak--2,4,7,-1,,metadata,,
prot-1958-b-ak--2,5,0,-1,,metadata,,
prot-1958-b-ak--2,5,1,-1,,metadata,,
prot-1958-b-ak--2,5,2,-1,,metadata,,
prot-1958-b-ak--2,5,3,-1,,metadata,,
prot-1958-b-ak--2,5,6,0,f0d538d10bda4e34,speech_start,jarl_hjalmarson_79e71f,prot-1958-b-ak--2-jarl_hjalmarson_79e71f-5-6-0
prot-1958-b-ak--2,5,6,0,0ba23c147c1beed8,speech_start,jarl_hjalmarson_79e71f,prot-1958-b-ak--2-jarl_hjalmarson_79e71f-5-6-0
prot-1958-b-ak--2,6,0,-1,,metadata,,
prot-1958-b-ak--2,6,1,-1,,metadata,,
prot-1958-b-ak--2,7,0,-1,,metadata,,
prot-1958-b-ak--2,7,1,-1,,metadata,,
prot-1958-b-ak--2,8,0,-1,,metadata,,
prot-1958-b-ak--2,8,1,-1,,metadata,,
prot-1958-b-ak--2,9,0,-1,,metadata,,
prot-1958-b-ak--2,9,1,-1,,metadata,,
prot-1958-b-ak--2,10,0,-1,,metadata,,
prot-1958-b-ak--2,10,1,-1,,metadata,,
prot-1958-b-ak--2,11,0,-1,,metadata,,
prot-1958-b-ak--2,11,1,-1,,metadata,,
prot-1958-b-ak--2,11,4,0,f0d538d10bda4e34,speech_start,bertil_ohlin_c8862c,prot-1958-b-ak--2-bertil_ohlin_c8862c-11-4-0
prot-1958-b-ak--2,11,4,0,0ba23c147c1beed8,speech_start,bertil_ohlin_c8862c,prot-1958-b-ak--2-bertil_ohlin_c8862c-11-4-0
prot-1958-b-ak--2,12,0,-1,,metadata,,
prot-1958-b-ak--2,12,1,-1,,metadata,,
prot-1958-b-ak--2,13,0,-1,,metadata,,
prot-1958-b-ak--2,13,1,-1,,metadata,,
prot-1958-b-ak--2,14,0,-1,,metadata,,
prot-1958-b-ak--2,14,1,-1,,metadata,,
prot-1958-b-ak--2,15,0,-1,,metadata,,
prot-1958-b-ak--2,15,1,-1,,metadata,,
prot-1958-b-ak--2,16,0,-1,,metadata,,
prot-1958-b-ak--2,16,1,-1,,metadata,,
prot-1958-b-ak--2,16,8,-1,,metadata,,
prot-1958-b-ak--2,17,0,-1,,metadata,,
prot-1958-b-ak--2,17,1,-1,,metadata,,
