protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1958-b-fk--12,0,2,,,metadata,
prot-1958-b-fk--12,0,4,,,metadata,
prot-1958-b-fk--12,0,5,,,metadata,
prot-1958-b-fk--12,0,9,,,metadata,
prot-1958-b-fk--12,1,0,,,metadata,
prot-1958-b-fk--12,1,2,,,metadata,
prot-1958-b-fk--12,1,7,,,metadata,
prot-1958-b-fk--12,1,8,,,metadata,
prot-1958-b-fk--12,1,9,,,metadata,
prot-1958-b-fk--12,1,10,,,metadata,
prot-1958-b-fk--12,1,11,,,metadata,
prot-1958-b-fk--12,1,12,,,metadata,
prot-1958-b-fk--12,1,13,,,metadata,
prot-1958-b-fk--12,1,14,,,metadata,
prot-1958-b-fk--12,1,15,,,metadata,
prot-1958-b-fk--12,2,0,,,metadata,
prot-1958-b-fk--12,2,1,,,metadata,
prot-1958-b-fk--12,2,2,,,metadata,
prot-1958-b-fk--12,2,3,,,metadata,
prot-1958-b-fk--12,2,16,,,metadata,
prot-1958-b-fk--12,3,0,,,metadata,
prot-1958-b-fk--12,3,1,,,metadata,
prot-1958-b-fk--12,3,7,,,metadata,
prot-1958-b-fk--12,3,11,,,metadata,
prot-1958-b-fk--12,3,12,,,metadata,
prot-1958-b-fk--12,4,0,,,metadata,
prot-1958-b-fk--12,4,1,,,metadata,
prot-1958-b-fk--12,4,6,,,metadata,
prot-1958-b-fk--12,5,0,,,metadata,
prot-1958-b-fk--12,5,1,,,metadata,
prot-1958-b-fk--12,5,3,,,metadata,
prot-1958-b-fk--12,6,0,,,metadata,
prot-1958-b-fk--12,6,1,,,metadata,
prot-1958-b-fk--12,6,4,,f0d538d10bda4e34,speech_start,Bertil Mogård
prot-1958-b-fk--12,6,4,,0ba23c147c1beed8,speech_start,Bertil Mogård
prot-1958-b-fk--12,6,5,,,metadata,
prot-1958-b-fk--12,7,0,,,metadata,
prot-1958-b-fk--12,7,1,,,metadata,
prot-1958-b-fk--12,7,3,,,metadata,
prot-1958-b-fk--12,8,0,,,metadata,
prot-1958-b-fk--12,8,1,,,metadata,
prot-1958-b-fk--12,8,5,,,metadata,
prot-1958-b-fk--12,8,7,,f0d538d10bda4e34,speech_start,
prot-1958-b-fk--12,8,7,,0ba23c147c1beed8,speech_start,
prot-1958-b-fk--12,8,8,,f0d538d10bda4e34,speech_start,Bertil Mogård
prot-1958-b-fk--12,8,8,,0ba23c147c1beed8,speech_start,Bertil Mogård
prot-1958-b-fk--12,9,0,,,metadata,
prot-1958-b-fk--12,9,1,,,metadata,
prot-1958-b-fk--12,10,0,,,metadata,
prot-1958-b-fk--12,10,1,,,metadata,
prot-1958-b-fk--12,11,0,,,metadata,
prot-1958-b-fk--12,11,1,,,metadata,
prot-1958-b-fk--12,11,5,,f0d538d10bda4e34,speech_start,Erik Hagberg
prot-1958-b-fk--12,11,5,,0ba23c147c1beed8,speech_start,Erik Hagberg
prot-1958-b-fk--12,12,0,,,metadata,
prot-1958-b-fk--12,12,1,,,metadata,
prot-1958-b-fk--12,13,0,,,metadata,
prot-1958-b-fk--12,13,1,,,metadata,
prot-1958-b-fk--12,13,7,,f0d538d10bda4e34,speech_start,Erik Hagberg
prot-1958-b-fk--12,13,7,,0ba23c147c1beed8,speech_start,Erik Hagberg
prot-1958-b-fk--12,14,0,,,metadata,
