,filename,pattern,txt,person
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr HANSSON, NILS, (fp):",Stig Hansson
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr KRISTIANSSON, AXEL, (cp):",
0,prot-1967--fk--35,0ba23c147c1beed8,Herr ISACSON (h):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr MOSSBERGER (s):,Holger Mossberg
0,prot-1967--fk--35,0ba23c147c1beed8,Herr BENGTSON (cp):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr ESKILSSON (h):,Gunnar Eskilsson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr HEDSTRÖM (s):,
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr PETTERSSON, HARALD, (cp):",
0,prot-1967--fk--35,0ba23c147c1beed8,Herr MAGNUSSON (s):,Tage Magnusson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr LUNDBERG (h):,Roland Lundberg
0,prot-1967--fk--35,0ba23c147c1beed8,Herr AUGUSTSSON (s):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr SKÅRMAN (fp):,
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr SVEDBERG, LAGE, (s):",
0,prot-1967--fk--35,0ba23c147c1beed8,Herr SVANSTRÖM (cp):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr SVENINGSSON (h):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr WANHAINEN (s):,
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr NILSSON, FERDINAND, (cp):",Torsten Nilsson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr WIKBERG (cp):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr HERMANSSON (cp):,C-H Hermansson
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr LARSSON, THORSTEN, (cp):",Sigvard Larsson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr SVENUNGSSON (h):,
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr NILSSON, YNGVE, (h):",Torsten Nilsson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr FÄLLDIN (cp):,
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr CARLSSON, ERIC, (cp):",Ingvar Carlsson
0,prot-1967--fk--35,0ba23c147c1beed8,Herr MOSSBERGER (s):,Holger Mossberg
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr ERIKSSON, EINAR, (s):",Nancy Eriksson
1,prot-1967--fk--35,0ba23c147c1beed8,Herr WERNER (k):,Mårten Werner
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr KRISTIANSSON, AXEL, (cp):",
1,prot-1967--fk--35,0ba23c147c1beed8,Herr MOSSBERGER (ss):,Holger Mossberg
0,prot-1967--fk--35,0ba23c147c1beed8,"Herr NILSSON, YNGVE, (h):",Torsten Nilsson
1,prot-1967--fk--35,0ba23c147c1beed8,"Herr ERIKSSON, EINAR, (s):",Nancy Eriksson
2,prot-1967--fk--35,0ba23c147c1beed8,Herr ÅKERLUND (h):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr PALM (s):,
0,prot-1967--fk--35,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
1,prot-1967--fk--35,0ba23c147c1beed8,Herr ENARSSON (h):,
2,prot-1967--fk--35,0ba23c147c1beed8,Herr WERNER (k):,Mårten Werner
3,prot-1967--fk--35,0ba23c147c1beed8,"Herr ERIKSSON, EINAR, (s):",Nancy Eriksson
