,filename,pattern,txt,person
0,prot-1968--ak--20,0ba23c147c1beed8,Herr TURESSON (h):,Bo Turesson
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WENNERFORS (h):,Alf Wennerfors
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WENNERFORS (h):,Alf Wennerfors
1,prot-1968--ak--20,0ba23c147c1beed8,Herr SJÖHOLM (fp):,Sten Sjöholm
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ULLSTEN (fp):,Ola Ullsten
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ULLSTEN (fp):,Ola Ullsten
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ULLSTEN (fp):,Ola Ullsten
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ULLSTEN (fp):,Ola Ullsten
1,prot-1968--ak--20,0ba23c147c1beed8,Herr WENNERFORS (h):,Alf Wennerfors
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WENNERFORS (h):,Alf Wennerfors
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WENNERFORS (h):,Alf Wennerfors
0,prot-1968--ak--20,0ba23c147c1beed8,Herr RIMMERFORS (fp):,Einar Rimmerfors
0,prot-1968--ak--20,0ba23c147c1beed8,Herr LORENTZON (vpk):,Gustav Lorentzon
0,prot-1968--ak--20,0ba23c147c1beed8,Herr LORENTZON (vpk):,Gustav Lorentzon
0,prot-1968--ak--20,0ba23c147c1beed8,Fru RYDING (vpk):,Gunvor Ryding
0,prot-1968--ak--20,0ba23c147c1beed8,Herr KRÖNMARK (h):,Eric Krönmark
0,prot-1968--ak--20,0ba23c147c1beed8,Herr KRÖNMARK (h):,Eric Krönmark
0,prot-1968--ak--20,0ba23c147c1beed8,Herr NORDGREN (h):,Hans Nordgren
0,prot-1968--ak--20,0ba23c147c1beed8,Herr NORDGREN (h):,Hans Nordgren
0,prot-1968--ak--20,0ba23c147c1beed8,Fru RYDING (vpk):,Gunvor Ryding
0,prot-1968--ak--20,0ba23c147c1beed8,Herr FAGERLUND (s):,Bengt Fagerlund
0,prot-1968--ak--20,0ba23c147c1beed8,Herr HENNINGSSON (s):,Einar Henningsson
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WESTBERG (fp):,Olle Westberg
0,prot-1968--ak--20,0ba23c147c1beed8,Herr NORDGREN (h):,Hans Nordgren
0,prot-1968--ak--20,0ba23c147c1beed8,Herr RINGABY (h):,Per-Eric Ringaby
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ELMSTEDT (cp):,Claes Elmstedt
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ÅKERLIND (h):,Allan Åkerlind
0,prot-1968--ak--20,0ba23c147c1beed8,Herr MUNDEBO (fp):,Ingemar Mundebo
0,prot-1968--ak--20,0ba23c147c1beed8,Herr HEDLUND (cp):,Gunnar Hedlund
0,prot-1968--ak--20,0ba23c147c1beed8,Herr BJÖRKMAN (h):,William Björk
0,prot-1968--ak--20,0ba23c147c1beed8,Fru RYDING (vpk):,Gunvor Ryding
0,prot-1968--ak--20,0ba23c147c1beed8,Herr RINGABY (h):,Per-Eric Ringaby
0,prot-1968--ak--20,0ba23c147c1beed8,Herr WESTBERG (fp):,Olle Westberg
0,prot-1968--ak--20,0ba23c147c1beed8,Herr NORDGREN (h):,Hans Nordgren
0,prot-1968--ak--20,0ba23c147c1beed8,Fru MARKLUND (vpk):,
0,prot-1968--ak--20,0ba23c147c1beed8,Fru LINDSKOG (s):,Elsa Lindskog
0,prot-1968--ak--20,0ba23c147c1beed8,Herr LINDKVIST (s):,Oskar Lindkvist
0,prot-1968--ak--20,0ba23c147c1beed8,Herr RIMÅS (fp):,Sigvard Rimås
0,prot-1968--ak--20,0ba23c147c1beed8,Herr ADAMSSON (s):,Erik Adamsson
1,prot-1968--ak--20,0ba23c147c1beed8,Herr LINDKVIST (s):,Oskar Lindkvist
