,filename,pattern,txt,person
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr ALMRYD (h):,
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr HERMANSSON (vpk):,C-H Hermansson
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr HERMANSSON (vpk):,C-H Hermansson
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr HERMANSSON (vpk):,C-H Hermansson
1,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr HERMANSSON (vpk):,C-H Hermansson
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr HERMANSSON (vpk):,C-H Hermansson
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr STÅHL (fp):,Manne Ståhl
1,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr JONASSON (cp):,Bertil Jonasson
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr LORENTZON (vpk):,Gustav Lorentzon
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr LORENTZON (vpk):,Gustav Lorentzon
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Fru MARKLUND (vpk):,
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Fru MARKLUND (vpk):,
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr WIKNER (s):,Valfrid Wikner
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr WIKNER (s):,Valfrid Wikner
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr LOTHIGIUS (bh):,Carl-Wilhelm Lothigius
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr LOTHIGIUS (h):,Carl-Wilhelm Lothigius
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr ÅBERG (fp):,
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr LOTHIGIUS (h):,Carl-Wilhelm Lothigius
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr BRANDT (s):,Erik Brandt
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr ÖHVALL (fp):,Bertil Öhvall
0,prot-1968-höst-ak--40,0ba23c147c1beed8,Herr NORDGREN (h):,Hans Nordgren
