protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1969-höst-ak--37,0,1,,,metadata,
prot-1969-höst-ak--37,0,2,,,metadata,
prot-1969-höst-ak--37,0,3,,,metadata,
prot-1969-höst-ak--37,0,4,,,metadata,
prot-1969-höst-ak--37,0,6,,,metadata,
prot-1969-höst-ak--37,0,7,,,metadata,
prot-1969-höst-ak--37,0,8,,,metadata,
prot-1969-höst-ak--37,0,11,,,metadata,
prot-1969-höst-ak--37,0,13,,,metadata,
prot-1969-höst-ak--37,0,14,,,metadata,
prot-1969-höst-ak--37,0,15,,,metadata,
prot-1969-höst-ak--37,0,16,,,metadata,
prot-1969-höst-ak--37,0,17,,,metadata,
prot-1969-höst-ak--37,0,18,,,metadata,
prot-1969-höst-ak--37,0,19,,,metadata,
prot-1969-höst-ak--37,1,0,,,metadata,
prot-1969-höst-ak--37,1,2,,,metadata,
prot-1969-höst-ak--37,1,4,,,metadata,
prot-1969-höst-ak--37,1,5,,,metadata,
prot-1969-höst-ak--37,1,6,,,metadata,
prot-1969-höst-ak--37,1,7,,,metadata,
prot-1969-höst-ak--37,1,8,,,metadata,
prot-1969-höst-ak--37,1,9,,,metadata,
prot-1969-höst-ak--37,1,10,,,metadata,
prot-1969-höst-ak--37,2,0,,,metadata,
prot-1969-höst-ak--37,2,4,,,metadata,
prot-1969-höst-ak--37,2,10,,,metadata,
prot-1969-höst-ak--37,2,11,,,metadata,
prot-1969-höst-ak--37,2,12,,,metadata,
prot-1969-höst-ak--37,2,13,,,metadata,
prot-1969-höst-ak--37,2,14,,,metadata,
prot-1969-höst-ak--37,2,15,,,metadata,
prot-1969-höst-ak--37,2,16,,,metadata,
prot-1969-höst-ak--37,2,17,,,metadata,
prot-1969-höst-ak--37,2,18,,,metadata,
prot-1969-höst-ak--37,2,19,,,metadata,
prot-1969-höst-ak--37,2,20,,,metadata,
prot-1969-höst-ak--37,2,21,,,metadata,
prot-1969-höst-ak--37,2,22,,,metadata,
prot-1969-höst-ak--37,2,23,,,metadata,
prot-1969-höst-ak--37,2,24,,,metadata,
prot-1969-höst-ak--37,2,25,,,metadata,
prot-1969-höst-ak--37,3,0,,,metadata,
prot-1969-höst-ak--37,3,1,,,metadata,
prot-1969-höst-ak--37,3,3,,,metadata,
prot-1969-höst-ak--37,3,5,,,metadata,
prot-1969-höst-ak--37,3,7,,,metadata,
prot-1969-höst-ak--37,3,9,,,metadata,
prot-1969-höst-ak--37,3,10,,,metadata,
prot-1969-höst-ak--37,3,11,,,metadata,
prot-1969-höst-ak--37,3,12,,,metadata,
prot-1969-höst-ak--37,3,13,,,metadata,
prot-1969-höst-ak--37,3,14,,,metadata,
prot-1969-höst-ak--37,3,15,,,metadata,
prot-1969-höst-ak--37,3,16,,,metadata,
prot-1969-höst-ak--37,3,17,,,metadata,
prot-1969-höst-ak--37,3,18,,,metadata,
prot-1969-höst-ak--37,3,19,,,metadata,
prot-1969-höst-ak--37,3,20,,,metadata,
prot-1969-höst-ak--37,3,21,,,metadata,
prot-1969-höst-ak--37,3,22,,,metadata,
prot-1969-höst-ak--37,3,23,,,metadata,
prot-1969-höst-ak--37,4,0,,,metadata,
