protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1970--ak--12,0,3,,,metadata,
prot-1970--ak--12,1,0,,,metadata,
prot-1970--ak--12,1,2,,,metadata,
prot-1970--ak--12,1,6,,,metadata,
prot-1970--ak--12,1,7,,,metadata,
prot-1970--ak--12,1,8,,,metadata,
prot-1970--ak--12,1,9,,,metadata,
prot-1970--ak--12,1,10,,,metadata,
prot-1970--ak--12,1,11,,,metadata,
prot-1970--ak--12,1,12,,,metadata,
prot-1970--ak--12,1,13,,,metadata,
prot-1970--ak--12,1,14,,,metadata,
prot-1970--ak--12,1,15,,,metadata,
prot-1970--ak--12,1,16,,,metadata,
prot-1970--ak--12,1,17,,,metadata,
prot-1970--ak--12,1,18,,,metadata,
prot-1970--ak--12,2,0,,,metadata,
prot-1970--ak--12,2,1,,,metadata,
prot-1970--ak--12,2,7,,,metadata,
prot-1970--ak--12,2,8,,,metadata,
prot-1970--ak--12,2,9,,,metadata,
prot-1970--ak--12,2,10,,,metadata,
prot-1970--ak--12,2,11,,,metadata,
prot-1970--ak--12,2,12,,,metadata,
prot-1970--ak--12,4,0,,,metadata,
prot-1970--ak--12,4,1,,,metadata,
prot-1970--ak--12,4,2,,,metadata,
prot-1970--ak--12,4,3,,,metadata,
prot-1970--ak--12,4,5,,,metadata,
prot-1970--ak--12,4,10,,,metadata,
prot-1970--ak--12,5,0,,,metadata,
prot-1970--ak--12,5,1,,,metadata,
prot-1970--ak--12,5,7,,,metadata,
prot-1970--ak--12,6,0,,,metadata,
prot-1970--ak--12,6,1,,,metadata,
prot-1970--ak--12,6,5,,,metadata,
prot-1970--ak--12,6,6,,f0d538d10bda4e34,speech_start,Valter Kristensson
prot-1970--ak--12,6,6,,0ba23c147c1beed8,speech_start,Valter Kristensson
prot-1970--ak--12,7,0,,,metadata,
prot-1970--ak--12,7,1,,,metadata,
prot-1970--ak--12,7,4,,,metadata,
prot-1970--ak--12,7,5,,f0d538d10bda4e34,speech_start,Alf Wennerfors
prot-1970--ak--12,7,5,,0ba23c147c1beed8,speech_start,Alf Wennerfors
prot-1970--ak--12,7,11,,,metadata,
prot-1970--ak--12,7,12,,f0d538d10bda4e34,speech_start,Alf Wennerfors
prot-1970--ak--12,7,12,,0ba23c147c1beed8,speech_start,Alf Wennerfors
prot-1970--ak--12,8,0,,,metadata,
prot-1970--ak--12,8,1,,,metadata,
prot-1970--ak--12,8,5,,f0d538d10bda4e34,speech_start,Alf Wennerfors
prot-1970--ak--12,8,5,,0ba23c147c1beed8,speech_start,Alf Wennerfors
prot-1970--ak--12,8,7,,,metadata,
prot-1970--ak--12,8,12,,,metadata,
prot-1970--ak--12,9,0,,,metadata,
prot-1970--ak--12,9,1,,,metadata,
prot-1970--ak--12,10,0,,,metadata,
prot-1970--ak--12,10,1,,,metadata,
prot-1970--ak--12,10,5,,,metadata,
prot-1970--ak--12,10,6,,f0d538d10bda4e34,speech_start,Per Bergman
prot-1970--ak--12,10,6,,0ba23c147c1beed8,speech_start,Per Bergman
prot-1970--ak--12,10,7,,,metadata,
prot-1970--ak--12,11,0,,,metadata,
prot-1970--ak--12,11,1,,,metadata,
prot-1970--ak--12,11,5,,,metadata,
prot-1970--ak--12,11,10,,,metadata,
prot-1970--ak--12,11,11,,f0d538d10bda4e34,speech_start,Viola Sandell
prot-1970--ak--12,12,0,,,metadata,
prot-1970--ak--12,12,1,,,metadata,
prot-1970--ak--12,13,0,,,metadata,
prot-1970--ak--12,13,1,,,metadata,
prot-1970--ak--12,13,4,,f0d538d10bda4e34,speech_start,Viola Sandell
prot-1970--ak--12,13,6,,,metadata,
prot-1970--ak--12,13,10,,,metadata,
prot-1970--ak--12,14,0,,,metadata,
prot-1970--ak--12,14,5,,,metadata,
prot-1970--ak--12,14,9,,,metadata,
prot-1970--ak--12,14,10,,f0d538d10bda4e34,speech_start,Eivor Marklund
prot-1970--ak--12,14,10,,0ba23c147c1beed8,speech_start,Eivor Marklund
prot-1970--ak--12,15,0,,,metadata,
prot-1970--ak--12,15,1,,,metadata,
prot-1970--ak--12,15,8,,,metadata,
prot-1970--ak--12,16,0,,,metadata,
prot-1970--ak--12,16,1,,,metadata,
prot-1970--ak--12,16,4,,,metadata,
prot-1970--ak--12,16,5,,f0d538d10bda4e34,speech_start,Rolf Sellgren
prot-1970--ak--12,16,5,,0ba23c147c1beed8,speech_start,Rolf Sellgren
prot-1970--ak--12,16,8,,,metadata,
prot-1970--ak--12,17,0,,,metadata,
prot-1970--ak--12,17,1,,,metadata,
prot-1970--ak--12,17,4,,f0d538d10bda4e34,speech_start,Rolf Sellgren
prot-1970--ak--12,17,4,,0ba23c147c1beed8,speech_start,Rolf Sellgren
prot-1970--ak--12,17,7,,,metadata,
prot-1970--ak--12,17,11,,,metadata,
prot-1970--ak--12,17,12,,f0d538d10bda4e34,speech_start,Ove Nordstrandh
prot-1970--ak--12,17,12,,0ba23c147c1beed8,speech_start,Ove Nordstrandh
prot-1970--ak--12,18,0,,,metadata,
prot-1970--ak--12,18,1,,,metadata,
prot-1970--ak--12,19,0,,,metadata,
prot-1970--ak--12,19,1,,,metadata,
prot-1970--ak--12,19,4,,f0d538d10bda4e34,speech_start,Ove Nordstrandh
prot-1970--ak--12,19,4,,0ba23c147c1beed8,speech_start,Ove Nordstrandh
prot-1970--ak--12,19,7,,f0d538d10bda4e34,speech_start,Ove Nordstrandh
prot-1970--ak--12,19,7,,0ba23c147c1beed8,speech_start,Ove Nordstrandh
prot-1970--ak--12,19,9,,,metadata,
prot-1970--ak--12,20,0,,,metadata,
prot-1970--ak--12,20,1,,,metadata,
prot-1970--ak--12,20,4,,,metadata,
prot-1970--ak--12,20,5,,f0d538d10bda4e34,speech_start,
prot-1970--ak--12,20,5,,0ba23c147c1beed8,speech_start,
prot-1970--ak--12,21,0,,,metadata,
prot-1970--ak--12,21,3,,f0d538d10bda4e34,speech_start,
prot-1970--ak--12,21,3,,0ba23c147c1beed8,speech_start,
prot-1970--ak--12,21,4,,,metadata,
prot-1970--ak--12,21,11,,,metadata,
prot-1970--ak--12,22,0,,,metadata,
prot-1970--ak--12,22,2,,,metadata,
prot-1970--ak--12,23,0,,,metadata,
prot-1970--ak--12,23,1,,,metadata,
prot-1970--ak--12,23,5,,,metadata,
prot-1970--ak--12,23,10,,,metadata,
prot-1970--ak--12,24,0,,,metadata,
prot-1970--ak--12,24,1,,,metadata,
prot-1970--ak--12,25,0,,,metadata,
prot-1970--ak--12,25,1,,,metadata,
prot-1970--ak--12,25,3,,f0d538d10bda4e34,speech_start,
prot-1970--ak--12,25,3,,0ba23c147c1beed8,speech_start,
prot-1970--ak--12,26,0,,,metadata,
prot-1970--ak--12,26,2,,,metadata,
prot-1970--ak--12,26,7,,,metadata,
prot-1970--ak--12,26,8,,,metadata,
prot-1970--ak--12,26,9,,,metadata,
prot-1970--ak--12,26,10,,,metadata,
prot-1970--ak--12,26,13,,,metadata,
prot-1970--ak--12,26,17,,,metadata,
prot-1970--ak--12,26,18,,,metadata,
prot-1970--ak--12,26,19,,,metadata,
prot-1970--ak--12,26,21,,,metadata,
prot-1970--ak--12,26,22,,,metadata,
prot-1970--ak--12,26,23,,,metadata,
prot-1970--ak--12,27,0,,,metadata,
prot-1970--ak--12,27,1,,,metadata,
prot-1970--ak--12,27,5,,f0d538d10bda4e34,speech_start,Nils Carlshamre
prot-1970--ak--12,27,5,,0ba23c147c1beed8,speech_start,Nils Carlshamre
prot-1970--ak--12,27,6,,,metadata,
prot-1970--ak--12,28,0,,,metadata,
prot-1970--ak--12,28,3,,,metadata,
prot-1970--ak--12,28,4,,,metadata,
prot-1970--ak--12,29,0,,,metadata,
prot-1970--ak--12,29,1,,,metadata,
prot-1970--ak--12,29,4,,,metadata,
prot-1970--ak--12,29,6,,f0d538d10bda4e34,speech_start,Gunvor Ryding
prot-1970--ak--12,29,6,,0ba23c147c1beed8,speech_start,Gunvor Ryding
prot-1970--ak--12,30,0,,,metadata,
prot-1970--ak--12,30,2,,,metadata,
prot-1970--ak--12,30,3,,,metadata,
prot-1970--ak--12,31,0,,,metadata,
prot-1970--ak--12,31,1,,,metadata,
prot-1970--ak--12,31,3,,f0d538d10bda4e34,speech_start,Torsten Fredriksson
