,filename,pattern,txt,person
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ÅKERLUND (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr ÅKERLUND (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ÅKERLUND (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr GEIJER, ARNE, (s):",
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr ÅKERLUND (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, SVENUNGSSON (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SVENUNGSSON (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, SÖRENSON (fp):,Lars-Ingvar Sörenson
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SÖRENSON (fp):,Lars-Ingvar Sörenson
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
1,prot-1970-höst-fk--37,f0d538d10bda4e34, SVENUNGSSON (m):,
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
3,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SVENUNGSSON (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WIKSTRÖM (fp):,
1,prot-1970-höst-fk--37,f0d538d10bda4e34, SÖRENSON (fp):,Lars-Ingvar Sörenson
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WIKSTRÖM (fp):,
3,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SÖRENSON (fp):,Lars-Ingvar Sörenson
0,prot-1970-höst-fk--37,f0d538d10bda4e34, SVENUNGSSON (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SVENUNGSSON (m):,
2,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr ERIKSSON, OLLE, (cp):",Nancy Eriksson
0,prot-1970-höst-fk--37,f0d538d10bda4e34, MÅRTENSSON (s):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr MÅRTENSSON (s):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, MÅRTENSSON (s):,
1,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr MÅRTENSSON (s):,
3,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, NYMAN (fp):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr NYMAN (fp):,
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr PETERSSON, BERTIL, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, HJORTH (s):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr HJORTH (s):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, SÖRENSON (fp):,Lars-Ingvar Sörenson
1,prot-1970-höst-fk--37,f0d538d10bda4e34, HJORTH (s):,
2,prot-1970-höst-fk--37,f0d538d10bda4e34, SÖRENSON (fp):,Lars-Ingvar Sörenson
3,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
4,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SÖRENSON (fp):,Lars-Ingvar Sörenson
5,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr HJORTH (s):,
6,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr SÖRENSON (fp):,Lars-Ingvar Sörenson
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
1,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr NILSSON, FERDINAND, (cp):",Torsten Nilsson
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
1,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr NILSSON, FERDINAND, (cp):",Torsten Nilsson
2,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ANNERÅS (fp):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr ANNERÅS (fp):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, STÅHLE (s):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr STÅHLE (s):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, HANSSON (s):,Tage Hansson
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr HANSSON (s):,Tage Hansson
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Fru LUNDBLAD, GRETHE, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, MATTSON (s):,
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Fru OHLSSON, LILLY, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34,THORELL (fp):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, HANSSON (s):,Tage Hansson
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr HANSSON (s):,Tage Hansson
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Fru LUNDBLAD, GRETHE, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ERNULF (fp):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr ERNULF (fp):,
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr NILSSON, FERDINAND, (cp):",Torsten Nilsson
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ERNULF (fp):,
