protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1971--151,0,2,-1,,metadata,,
prot-1971--151,0,4,-1,,metadata,,
prot-1971--151,0,8,-1,,metadata,,
prot-1971--151,2,0,-1,,metadata,,
prot-1971--151,2,11,-1,,metadata,,
prot-1971--151,2,12,-1,,metadata,,
prot-1971--151,2,13,-1,,metadata,,
prot-1971--151,2,14,-1,,metadata,,
prot-1971--151,2,15,-1,,metadata,,
prot-1971--151,2,16,-1,,metadata,,
prot-1971--151,2,17,-1,,metadata,,
prot-1971--151,2,18,-1,,metadata,,
prot-1971--151,2,19,-1,,metadata,,
prot-1971--151,2,20,-1,,metadata,,
prot-1971--151,2,21,-1,,metadata,,
prot-1971--151,2,22,-1,,metadata,,
prot-1971--151,2,23,-1,,metadata,,
prot-1971--151,2,24,-1,,metadata,,
prot-1971--151,2,25,-1,,metadata,,
prot-1971--151,3,3,-1,,metadata,,
prot-1971--151,3,4,-1,,metadata,,
prot-1971--151,3,6,-1,,metadata,,
prot-1971--151,3,7,-1,,metadata,,
prot-1971--151,3,8,-1,,metadata,,
prot-1971--151,3,9,-1,,metadata,,
prot-1971--151,3,10,-1,,metadata,,
prot-1971--151,3,11,-1,,metadata,,
prot-1971--151,5,0,-1,,metadata,,
prot-1971--151,5,1,-1,,metadata,,
prot-1971--151,5,4,0,f0d538d10bda4e34,speech_start,bo_turesson_d67841,prot-1971--151-bo_turesson_d67841--1
prot-1971--151,5,4,0,0ba23c147c1beed8,speech_start,bo_turesson_d67841,prot-1971--151-bo_turesson_d67841--2
prot-1971--151,5,5,-1,,metadata,,
prot-1971--151,5,7,-1,,metadata,,
prot-1971--151,6,0,-1,,metadata,,
prot-1971--151,6,1,-1,,metadata,,
prot-1971--151,6,3,-1,,metadata,,
prot-1971--151,7,2,0,f0d538d10bda4e34,speech_start,rune_carlstein_ec643b,prot-1971--151-rune_carlstein_ec643b--1
prot-1971--151,7,2,0,0ba23c147c1beed8,speech_start,rune_carlstein_ec643b,prot-1971--151-rune_carlstein_ec643b--2
prot-1971--151,7,3,-1,,metadata,,
prot-1971--151,7,4,-1,,metadata,,
prot-1971--151,7,6,-1,,metadata,,
prot-1971--151,8,0,-1,,metadata,,
