protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1980-urtima-4,0,2,,,metadata,
prot-1980-urtima-4,0,5,,,metadata,
prot-1980-urtima-4,0,6,,,metadata,
prot-1980-urtima-4,0,10,,,metadata,
prot-1980-urtima-4,3,1,,,metadata,
prot-1980-urtima-4,3,2,,,metadata,
prot-1980-urtima-4,3,6,,,metadata,
prot-1980-urtima-4,3,9,,,metadata,
prot-1980-urtima-4,3,10,,,metadata,
prot-1980-urtima-4,3,12,,,metadata,
prot-1980-urtima-4,3,15,,,metadata,
prot-1980-urtima-4,3,16,,,metadata,
prot-1980-urtima-4,3,17,,,metadata,
prot-1980-urtima-4,3,19,,,metadata,
prot-1980-urtima-4,4,1,,,metadata,
prot-1980-urtima-4,4,2,,,metadata,
prot-1980-urtima-4,4,4,,,metadata,
prot-1980-urtima-4,4,6,,,metadata,
prot-1980-urtima-4,6,0,,,metadata,
