,package_id,pattern,txt,person
0,prot-1980-urtima-6,f0d538d10bda4e34,OLOF PALME (s):,Olof Palme
1,prot-1980-urtima-6,f0d538d10bda4e34,LARS WERNER (vpk):,Lars Werner
2,prot-1980-urtima-6,f0d538d10bda4e34,GUNNAR NILSSON (s):,Gunnar Nilsson
3,prot-1980-urtima-6,f0d538d10bda4e34,OLOF FELDT (s):,Kjell-Olof Feldt
4,prot-1980-urtima-6,f0d538d10bda4e34,HENRIK HERMANSSON (vpk):,Ebba Hermansson
5,prot-1980-urtima-6,f0d538d10bda4e34,ERIC ENLUND (fp):,Eric Enlund
6,prot-1980-urtima-6,f0d538d10bda4e34,LARS TOBISSON (m):,Lars Tobisson
7,prot-1980-urtima-6,f0d538d10bda4e34,PAUL JANSSON (s):,Paul Jansson
8,prot-1980-urtima-6,f0d538d10bda4e34,TORSTEN GUSTAFSSON (c):,Torsten Gustafsson
9,prot-1980-urtima-6,f0d538d10bda4e34,ERIK WÄRNBERG (s):,Erik Wärnberg
10,prot-1980-urtima-6,f0d538d10bda4e34,NILS BERNDTSON (vpk):,Nils Berndtson
11,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF PALME (s) replik:,Olof Palme
12,prot-1980-urtima-6,d84fc8cb7cb8f0d1,LARS WERNER (vpk) replik:,Lars Werner
13,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF PALME (s) replik:,Olof Palme
14,prot-1980-urtima-6,d84fc8cb7cb8f0d1,LARS WERNER (vpk) replik:,Lars Werner
15,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
16,prot-1980-urtima-6,d84fc8cb7cb8f0d1,HENRIK HERMANSSON (vpk) replik:,Ebba Hermansson
17,prot-1980-urtima-6,d84fc8cb7cb8f0d1,ERIC ENLUND (fp) replik:,Eric Enlund
18,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
19,prot-1980-urtima-6,d84fc8cb7cb8f0d1,HENRIK HERMANSSON (vpk) replik:,Ebba Hermansson
20,prot-1980-urtima-6,d84fc8cb7cb8f0d1,ERIC ENLUND (fp) replik:,Eric Enlund
21,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
22,prot-1980-urtima-6,d84fc8cb7cb8f0d1,LARS TOBISSON (m) replik:,Lars Tobisson
23,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
24,prot-1980-urtima-6,d84fc8cb7cb8f0d1,LARS TOBISSON (m) replik:,Lars Tobisson
25,prot-1980-urtima-6,d84fc8cb7cb8f0d1,PAUL JANSSON (s) replik:,Paul Jansson
26,prot-1980-urtima-6,d84fc8cb7cb8f0d1,TORSTEN GUSTAFSSON (c) replik:,Torsten Gustafsson
27,prot-1980-urtima-6,d84fc8cb7cb8f0d1,PAUL JANSSON (s) replik:,Paul Jansson
28,prot-1980-urtima-6,d84fc8cb7cb8f0d1,TORSTEN GUSTAFSSON (c) replik:,Torsten Gustafsson
29,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
30,prot-1980-urtima-6,d84fc8cb7cb8f0d1,OLOF FELDT (s) replik:,Kjell-Olof Feldt
