protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1980-urtima-9,0,2,-1,,metadata,,
prot-1980-urtima-9,0,5,-1,,metadata,,
prot-1980-urtima-9,0,8,-1,,metadata,,
prot-1980-urtima-9,3,2,-1,,metadata,,
prot-1980-urtima-9,3,3,-1,,metadata,,
prot-1980-urtima-9,3,4,-1,,metadata,,
prot-1980-urtima-9,3,5,-1,,metadata,,
prot-1980-urtima-9,3,7,-1,,metadata,,
prot-1980-urtima-9,3,10,-1,,metadata,,
prot-1980-urtima-9,4,1,-1,,metadata,,
prot-1980-urtima-9,4,2,-1,,metadata,,
prot-1980-urtima-9,6,1,-1,,metadata,,
