,filename,pattern,txt,person
0,prot-198990--48,f0d538d10bda4e34,6 CARL BILDT (m):,Carl Bildt
0,prot-198990--48,f0d538d10bda4e34, 7 BENGT WESTERBERG (fp):,Bengt Westerberg
0,prot-198990--48,f0d538d10bda4e34,8 OLOF JOHANSSON (c):,Olof Johansson
0,prot-198990--48,f0d538d10bda4e34,9 LARS WERNER (vpk):,Lars Werner
0,prot-198990--48,f0d538d10bda4e34, 10 CLAES ROXBERGH (mp):,Claes Roxbergh
0,prot-198990--48,f0d538d10bda4e34, 12 CARL BILDT (m):,Carl Bildt
0,prot-198990--48,f0d538d10bda4e34, 13 BENGT WESTERBERG (fp):,Bengt Westerberg
0,prot-198990--48,f0d538d10bda4e34, 14 OLOF JOHANSSON (c):,Olof Johansson
0,prot-198990--48,f0d538d10bda4e34, 15 LARS WERNER (vpk):,Lars Werner
0,prot-198990--48,f0d538d10bda4e34, 16 CLAES ROXBERGH (mp):,Claes Roxbergh
0,prot-198990--48,36cdc1fd812d7973,av Görel Thurdin (c) till miljöoch energiministern om slutförvaringen av utbränt kärnbränsle:,Görel Thurdin
0,prot-198990--48,36cdc1fd812d7973,av Ulla Tillander (c) till statsministern om barnomsorgen:,Ulla Tillander
0,prot-198990--48,36cdc1fd812d7973,av Annika Åhnberg (vpk) till jordbruksministern om jordbruket och framtiden:,Annika Åhnberg
1,prot-198990--48,36cdc1fd812d7973,av Annika Åhnberg (vpk) till jordbruksministern om planerad odling av genmanipulerade sockerbetor:,Annika Åhnberg
0,prot-198990--48,36cdc1fd812d7973,av Ragnhild Pohanka (mp) till kommunikationsministern om Dala-Airport:,Ragnhild Pohanka
0,prot-198990--48,36cdc1fd812d7973,av Marianne Samuelsson (mp) till kommunikationsministern om järnvägstrafiken i Västsverige:,Marianne Samuelsson
0,prot-198990--48,36cdc1fd812d7973,av Sten Andersson i Malmö (m) till statsrådet Maj-Lis Lööw om flyktingpolitiken:,Sten Andersson
1,prot-198990--48,36cdc1fd812d7973,av Erling Bager (fp) till utrikesministern om värnpliktiga estländare:,Erling Bager
0,prot-198990--48,36cdc1fd812d7973,av Per Westerberg (m) till kommunikationsministern om televerkets godkännande av mobiltelefoner:,Per Westerberg
1,prot-198990--48,36cdc1fd812d7973,av Per Westerberg (m) till finansministern om beskattningen då sjukt barn erhåller tillsyn genom arbetsgivarens försorg:,Per Westerberg
2,prot-198990--48,36cdc1fd812d7973,av Hadar Cars (fp) till miljöoch energiministern om tillgången på el:,Hadar Cars
0,prot-198990--48,36cdc1fd812d7973,"av Olle Östrand (s) till kommunikationsministern om restriktioner mot enkelbottnade tankfartyg, som anlöper svenska hamnar:",Olle Östrand
1,prot-198990--48,36cdc1fd812d7973,av Daniel Tarschys (fp) till statsrådet Bengt Lindqvist om familjerådgivningen:,Daniel Tarschys
0,prot-198990--48,36cdc1fd812d7973,av Daniel Tarschys (fp) till statsrådet Bengt Lindqvist om barnomsorg i enskild regi:,Daniel Tarschys
1,prot-198990--48,36cdc1fd812d7973,av Gudrun Schyman (vpk) till statsrådet Anita Gradin om Indienordern till Bofors:,Gudrun Schyman
0,prot-198990--48,36cdc1fd812d7973,av Jan Sandberg (m) till civilministern om statliga myndigheters ekonomiska redovisning:,Jan Sandberg
1,prot-198990--48,36cdc1fd812d7973,av Gudrun Schyman (vpk) till industriministern om kärnkraftsavvecklingen:,Gudrun Schyman
2,prot-198990--48,36cdc1fd812d7973,av Gudrun Schyman (vpk) till statsrådet Anita Gradin om vapenexporten:,Gudrun Schyman
0,prot-198990--48,36cdc1fd812d7973,av Annika Åhnberg (vpk) till jordbruksministern om arrendatorernas villkor:,Annika Åhnberg
1,prot-198990--48,36cdc1fd812d7973,av Annika Åhnberg (vpk) till jordbruksministern om besiktningen av kött:,Annika Åhnberg
2,prot-198990--48,36cdc1fd812d7973,av Barbro Westerholm (fp) till civilministern om socialstyrelsens framtida organisation:,Barbro Westerholm
0,prot-198990--48,36cdc1fd812d7973,av Birgitta Hambraeus (c) till industriministern om kärnkraftsavvecklingen utomlands:,Birgitta Hambraeus
1,prot-198990--48,36cdc1fd812d7973,av Birgitta Hambraeus (c) till industriministern om energihushållning:,Birgitta Hambraeus
