,filename,pattern,txt,person
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,"Herr Petersson, Knut: Herr talman",
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Nordenson: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Ohlin: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Sjödahl: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr von Heland: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,"Herr Karlsson, Oscar Gottfrid: Herr talman",Verner Karlsson
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Herlitz: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Björnsson: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Domö: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Åkerberg: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,"Herr Andersson, Alfred: Herr talman",Linus Andersson
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Ohlin: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Nordenson: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr von Heland: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Herlitz: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr Gärde: Herr talman,
0,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr von Heland: Herr talman,
1,prot-1939-urtima-fk--20,8f6bb79aaba3167f,Herr von Heland: Herr talman,
