,filename,pattern,txt,person
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Pettersson i Dahl, som anförde: Herr talman",John Pettersson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr förste vice talmannen Magnusson: Herr talman,Otto Magnusson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Hedlund i Östersund: Herr talman,Verner Hedlund
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Närlinge: Herr talman,
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,herr statsrådet Andersson: Herr talman,Linus Andersson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr förste vice talmannen Magnusson: Herr talman,Otto Magnusson
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Jansson i Falun: Herr talman,Robert Jansson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Fru Nordgren: Herr talman,Olivia Nordgren
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Ryberg: Herr talman,Arthur Ryberg
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Lindqvist: Herr talman,Axel Lindqvist
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Fru Nordgren erhöll ordet för kort genmäle och anförde: Herr talman,Olivia Nordgren
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Larsson i Hede: Herr talman,Nils Larsson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Hedlund i Östersund: Herr talman,Verner Hedlund
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Hagberg i Luleå: Herr talman,Hilding Hagberg
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Liedberg: Herr talman,Gösta Liedberg
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Hagberg i Luleå, som för kort genmäle erhöll ordet, anförde: Herr talman",Hilding Hagberg
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Liedberg, som jämväl för kort genmäle erhöll ordet, yttrade: Herr talman",Gösta Liedberg
2,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Hagberg i Luleå erhöll ånyo ordet för kort genmäle och anförde: Herr talman,Hilding Hagberg
3,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Holmbäck: Herr talman,Åke Holmbäck
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Holmbäck erhöll ordet för kort genmäle och anförde: Herr talman,Åke Holmbäck
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Lindqvist, som anförde: Herr talman",Axel Lindqvist
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Holmbäck erhöll likaledes för kort genmäle ordet och yttrade: Herr talman,Åke Holmbäck
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Pettersson i Hällbacken: Herr talman,John Pettersson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Lindqvist, som för kort genmäle erhöll ordet, yttrade: Herr talman",Axel Lindqvist
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Fru Nordgren: Herr talman,Olivia Nordgren
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr statsrådet Bergquist: Herr talman,Thorwald Bergquist
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Fru Gustafson: Herr talman,Ruth Gustafson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Ryberg: Herr talman,Arthur Ryberg
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Lindberg i Stockholm: Herr talman,Elof Lindberg
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Fru Nordgren erhöll ordet för kort genmäle och anförde: Herr talman,Olivia Nordgren
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Gardell: Herr talman,Theodor Gardell
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Hedlund i Östersund: Herr talman,Verner Hedlund
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,herr statsrådet Eriksson: Herr talman,Jonas Eriksson
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,"Herr Lindqvist, som för kort genmäle erhöll ordet, anförde: Herr talman",Axel Lindqvist
1,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Barnekow: Herr talman,Ragnar Barnekow
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Sjögren: Herr talman,Einar Sjögren
0,prot-1940-urtima-ak--13,8f6bb79aaba3167f,Herr Liedberg: Herr talman,Gösta Liedberg
