,filename,pattern,txt,person
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr VELANDER erhöll på begäran ordet och anförde: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HOLMBÄCK: Herr talman,Gustav Holm
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr NIKLASSON: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr PERSSON, KARL: Herr talman",Ragnar Persson
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HERLITZ: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr GÖRANSSON: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HOLMBÄCK: Herr talman,Gustav Holm
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr BRANTING: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HERLITZ: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr NILZON, IVAR: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr ELOWSSON, NILS: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr HERMANSSON, ALBERT: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr ESKILSSON: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HOLMBÄCK: Herr talman,Gustav Holm
1,prot-1950--fk--9,8f6bb79aaba3167f,Herr ISAKSSON: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr ELOWSSON, NILS: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr HERMANSSON, ALBERT: Herr talman",
1,prot-1950--fk--9,8f6bb79aaba3167f,Herr ISAKSSON: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr WERNER: Herr talman,Oscar Werner
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr HERMANSSON, HERBERT: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr NÄSLUND: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr WERNER: Herr talman,Oscar Werner
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HÄLLGREN: Herr talman,
1,prot-1950--fk--9,8f6bb79aaba3167f,Herr WERNER: Herr talman,Oscar Werner
2,prot-1950--fk--9,8f6bb79aaba3167f,Herr NÄSLUND: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,"Herr HERMANSSON, HERBERT: Herr talman",
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HEIDING: Herr talman,
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr SANDBERG: Herr talman,Evert Sandberg
0,prot-1950--fk--9,8f6bb79aaba3167f,Herr HEIDING: Herr talman,
1,prot-1950--fk--9,8f6bb79aaba3167f,Herr WISTRAND erhöll på begäran ordet och anförde: Herr talman,
