,filename,pattern,txt,person
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr NERMAN: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr statsrådet ZETTERBERG: Herr talman,
1,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr HERLITZ: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr NERMAN: Herr talman,
1,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr FORSLUND: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr VELANDER: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr SJÖDAHL: Herr talman,Anders Pettersson i Dahl
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr NÄSGARD: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr VELANDER: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr DOMÖ: Herr talman,
1,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr SJÖDAHL: Herr talman,Anders Pettersson i Dahl
2,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr DOMÖ: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr DOMÖ: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr AHLKVIST: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr LODENIUS: Herr talman,
1,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr GÖRANSSON: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr NERMAN: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr CASSEL: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr GÖRANSSON: Herr talman,
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr OLOFSSON: Herr talman,Åke Olofsson
1,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,"Herr OLSSON, KARL JOHAN: Herr talman",Carl Petrus Olsson
0,prot-1951-extrahöst-fk--32,8f6bb79aaba3167f,Herr NERMAN: Herr talman,
