,filename,pattern,txt,person
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr LUNDQVIST: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr HÄLLGREN: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr GILLSTRÖM: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,"Herr THUN, EDVIN: Herr talman",
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr BERGH: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr BERGH: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr HÄLLGREN: Herr talman,
1,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr BJÖRNBERG: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr PÅLSSON: Herr talman,
1,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr SUNDELIN: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr NÄSGÅRD: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr HERLITZ: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,"Herr NILSSON, BROR: Herr talman",Torsten Nilsson
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr ELIASSON: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,"Herr JONSSON, JON: Herr talman",Sigfrid Jonsson
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr TJÄLLGREN: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr FALK: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,"Herr NILSSON, BROR: Herr talman",Torsten Nilsson
1,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr HERLITZ: Herr talman,
2,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr FALK: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr NÄSLUND: Herr talman,
1,prot-1952-höst-fk--29,8f6bb79aaba3167f,Herr LUNDQVIST erhöll på begäran ordet och yttrade: Herr talman,
0,prot-1952-höst-fk--29,8f6bb79aaba3167f,"herr WEILAND, som yttrade: Herr talman",
