,filename,pattern,txt,person
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet EDENMAN, som yttrade:
Herr talman",Ragnar Edenman
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet EDENMAN:
Herr talman",Ragnar Edenman
0,prot-1958-a-ak--13,0ba23c147c1beed8,Fru EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr HENNING (k):,
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som anförde:
Herr talman",
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet LINDELL:
Herr talman",
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet LINDELL:
Herr talman",
0,prot-1958-a-ak--13,8f6bb79aaba3167f,"herr statsrådet LINDELL, som anförde:
Herr talman",
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr STÅHL (fp):,Manne Ståhl
0,prot-1958-a-ak--13,0ba23c147c1beed8,Fru HOLMQVIST (s):,Mary Holmqvist
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr BRANDT (s):,Henry Brandt
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr KOLLBERG (fp):,Gustaf Kollberg
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr SUNDSTRÖM (s):,Walter Sundström
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr BRANDT (s):,Henry Brandt
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr SUNDSTRÖM (s):,Walter Sundström
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr HOLMBERG (k):,Helmer Holmberg
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr HOLMBERG (k):,Helmer Holmberg
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr BOIJA (fp):,Gustav Boija
1,prot-1958-a-ak--13,0ba23c147c1beed8,Herr SKÖLDIN (s):,Per Edvin Sköld
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr REGNELL (h):,
1,prot-1958-a-ak--13,0ba23c147c1beed8,Herr SKÖLDIN (s):,Per Edvin Sköld
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr ÅHMAN (fp):,Hjalmar Åhman
1,prot-1958-a-ak--13,0ba23c147c1beed8,Herr LEVIN (s):,Hans Levin
0,prot-1958-a-ak--13,0ba23c147c1beed8,Herr ÅHMAN (fp):,Hjalmar Åhman
1,prot-1958-a-ak--13,0ba23c147c1beed8,Herr LEVIN (ss):,Hans Levin
2,prot-1958-a-ak--13,0ba23c147c1beed8,Herr ÅHMAN (fp):,Hjalmar Åhman
