,filename,pattern,txt,person
0,prot-1958-a-fk--13,0ba23c147c1beed8,"Herr OLOFSSON, UNO, (fp):",
0,prot-1958-a-fk--13,8f6bb79aaba3167f,"Herr statsrådet LANGE:
Herr talman",
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
0,prot-1958-a-fk--13,8f6bb79aaba3167f,Herr statsrådet LINDELL: Herr talman,
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr ÖHMAN (k):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr OHLON (fp):,
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr ÖHMAN (k):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr SJÖDAHL (s):,Einar Dahl
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr ÖHMAN (k):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr MOGÅRD (s):,
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr MOGÅRD (ss):,
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr ELMGREN (s):,
2,prot-1958-a-fk--13,0ba23c147c1beed8,"Herr ELOFSSON, GUSTAF, (cp):",
0,prot-1958-a-fk--13,0ba23c147c1beed8,"Herr JANSSON, ERIK, (s):",Ivar Jansson
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr SJÖDAHL (s):,Einar Dahl
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr EDSTRÖM (fp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr BENGTSON (cp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr SPETZ (fp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr DANMANS (fp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr BOO (s):,
1,prot-1958-a-fk--13,0ba23c147c1beed8,Herr DANMANS (fp):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,"Herr ANDERSSON, BIRGER, (s):",Thure Andersson
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr BOO (ss):,
1,prot-1958-a-fk--13,0ba23c147c1beed8,"Herr ANDERSSON, BIRGER, (s):",Thure Andersson
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr BOO (s):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr KAIJSER (h):,
0,prot-1958-a-fk--13,0ba23c147c1beed8,Herr OSVALD (fp):,
