,filename,pattern,txt,person
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr KÄLLQVIST (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr KÄLLQVIST (fp):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
2,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ELMGREN (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr DANMANS (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ANDERSSON, TORSTEN, (cp):",Thure Andersson
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr JONSSON (s):,Sigfrid Jonsson
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr OHLON (fp):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr JONSSON (s):,Sigfrid Jonsson
2,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr OSVALD (fp):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr DANMANS (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr OLSSON, ERIK, (s):",Gunnel Olsson
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr WÄRNBERG (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr DAMSTRÖM (ss):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
2,prot-1958-b-fk--11,0ba23c147c1beed8,Herr WÄRNBERG (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr JACOBSSON (fp):,Ernst Jacobsson
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ANDERSSON, BIRGER, (s):",Thure Andersson
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr BERGH, RAGNAR, (h):",
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr JACOBSSON (fp):,Ernst Jacobsson
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ANDERSSON, BIRGER, (s):",Thure Andersson
1,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr BERGH, RAGNAR, (h):",
2,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ANDERSSON, BIRGER, (s):",Thure Andersson
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ÖHMAN (k):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr ÖHMAN (k):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NÄSSTRÖM (s):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SPETZ (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SJÖDAHL (s):,Einar Dahl
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SJÖDAHL (s):,Einar Dahl
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
1,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SJÖDAHL (s):,Einar Dahl
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr HAGBERG (h):,Hilding Hagberg
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SJÖDAHL (ss):,Einar Dahl
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr SPETZ (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ANDERSSON, ALVAR, (cp):",Thure Andersson
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr EWERLÖF (h):,Elsa Ewerlöf
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NORLING (k):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ELOWSSON, NILS, (s):",
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr NORLING (k):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ELOWSSON, NILS, (s):",
2,prot-1958-b-fk--11,0ba23c147c1beed8,Herr EDSTRÖM (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ELOWSSON. NILS, (s):",
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr EDSTRÖM (fp):,
0,prot-1958-b-fk--11,0ba23c147c1beed8,Herr LUNDSTRÖM (fp):,
1,prot-1958-b-fk--11,0ba23c147c1beed8,"Herr ELOWSSON, NILS, (s):",
