,filename,pattern,txt,person
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING, som yttrade:
Herr talman",Einar Asp
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Fru RYDING (k):,
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING:
Herr talman",Einar Asp
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Fru RYDING (k):,
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Fru RYDING (k):,
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING, som yttrade:
Herr talman",Einar Asp
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING:
Herr talman",Einar Asp
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON, som yttrade:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
1,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON, som yttrade:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr KELLGREN (ss):,Nils Kellgren
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr HAGBERG (k):,Hilding Hagberg
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON, som yttrade:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr TURESSON (h):,Bo Turesson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr STÅHL (fp):,Manne Ståhl
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr MELLQVIST (s):,Sven Mellqvist
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr KÄLLSTAD (fp):,Thorvald Källstad
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr NORDSTRANDH (h):,Ove Nordstrandh
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr REGNELL (h):,
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr HERMANSSON (k):,
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr RIMMERFORS (fp):,Einar Rimmerfors
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr BRACONIER (h):,Jean Braconier
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr OHLIN (fp):,Bertil Ohlin
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr GREBÄCK (cp):,Erik Grebäck
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr SKÖLDIN (s):,Per Edvin Sköld
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr HAGBERG (k):,Hilding Hagberg
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr LINDKVIST (s):,Oskar Lindkvist
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr SKÖLDIN (s):,Per Edvin Sköld
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON, som yttrade:
Herr talman",Stig Hansson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet JOHANSSON, som yttrade:
Herr talman",Stig Hansson
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr HAGLUND (s):,Anders Haglund
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr WIKLUND (fp):,Olof Wiklund
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som yttrade:
Herr talman",
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som yttrade:
Herr talman",
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr RIMMERFORS (fp):,Einar Rimmerfors
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG:
Herr talman",
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr RIMMERFORS (fp):,Einar Rimmerfors
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som yttrade:
Herr talman",
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr FREDRIKSSON (s):,Torsten Fredriksson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som yttrade:
Herr talman",
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr ELMWALL (cp):,
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet STRÄNG, som yttrade:
Herr talman",
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr HOLMBERG (k):,Helmer Holmberg
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN, som yttrade:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN, som yttrade:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet EDENMAN:
Herr talman",Ragnar Edenman
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr DICKSON (h):,James Dickson
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr DAHLGREN (cp):,
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet HOLMQVIST:
Herr talman",Mary Holmqvist
1,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr DAHLGREN (cp):,
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr MATTSSON (cp):,Lennart Mattsson
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet HOLMQVIST:
Herr talman",Mary Holmqvist
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING, som yttrade:
Herr talman",Einar Asp
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Fru NETTELBRANDT (fp):,Henry Brandt
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr BJÖRKMAN (h):,Folke Björkman
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING:
Herr talman",Einar Asp
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr BJÖRKMAN (h):,Folke Björkman
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Fru NETTELBRANDT (fp):,Henry Brandt
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING:
Herr talman",Einar Asp
1,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING, som yttrade:
Herr talman",Einar Asp
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,herr statsrådet ASPLING: Herr talman,Einar Asp
0,prot-1963-höst-ak--37,0ba23c147c1beed8,Herr FÄLLDIN (cp):,Thorbjörn Fälldin
0,prot-1963-höst-ak--37,8f6bb79aaba3167f,"herr statsrådet ASPLING, som yttrade:
Herr talman",Einar Asp
