,filename,pattern,txt,person
0,prot-198081--112,f0d538d10bda4e34, 2 RUNE GUSTAVSSON (c):,Rune Gustavsson
0,prot-198081--112,f0d538d10bda4e34, 4 RUNE GUSTAVSSON (c):,Rune Gustavsson
0,prot-198081--112,f0d538d10bda4e34, 6 SVEN ERIC ÅKERFELDT (c):,Sven Eric Åkerfeldt
0,prot-198081--112,f0d538d10bda4e34, 9 SVEN ERIC ÅKERFELDT (c):,Sven Eric Åkerfeldt
0,prot-198081--112,f0d538d10bda4e34, 13 SVEN ERIC ÅKERFELDT (c):,Sven Eric Åkerfeldt
0,prot-198081--112,f0d538d10bda4e34, 15 WIGGO KOMSTEDT (m):,Wiggo Komstedt
0,prot-198081--112,f0d538d10bda4e34, 17 WIGGO KOMSTEDT (m):,Wiggo Komstedt
0,prot-198081--112,f0d538d10bda4e34, 19 WIGGO KOMSTEDT (m):,Wiggo Komstedt
0,prot-198081--112,f0d538d10bda4e34, 21 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,f0d538d10bda4e34, 23 BERTIL ZACHRISSON (s):,Bertil Zachrisson
1,prot-198081--112,f0d538d10bda4e34, 25 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,f0d538d10bda4e34, 27 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,f0d538d10bda4e34, 29 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,f0d538d10bda4e34, 32 ERIC JÖNSSON (s):,Eric Jönsson
0,prot-198081--112,f0d538d10bda4e34, 33 ULLA TILLANDER (c):,Ulla Tillander
0,prot-198081--112,f0d538d10bda4e34, 35 ERIC JÖNSSON (s):,Eric Jönsson
1,prot-198081--112,f0d538d10bda4e34, 36 ULLA TILLANDER (c):,Ulla Tillander
0,prot-198081--112,f0d538d10bda4e34, 38 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,f0d538d10bda4e34, 40 BERTIL ZACHRISSON (s):,Bertil Zachrisson
0,prot-198081--112,36cdc1fd812d7973,av Svante Lundkvist (s) till jordbruksministern om bilaterala avtal för att begränsa svavelutsläpp:,Svante Lundkvist
